ticker,DTEA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-06-05,42.1053
2015-06-08,6.7036999999999995
2015-06-09,2.7420999999999998
2015-06-10,-6.2838
2015-06-11,-2.4513
2015-06-12,-0.2956
2015-06-15,1.0007
2015-06-16,7.0092
2015-06-17,-24.5542
2015-06-18,-3.0909
2015-06-19,3.1895
2015-06-22,-0.8636
2015-06-23,2.751
2015-06-24,-0.7586
2015-06-25,2.3830999999999998
2015-06-26,-0.8783
2015-06-29,-0.3988
2015-06-30,-4.4039
2015-07-01,-2.5593
2015-07-02,1.0506
2015-07-06,-1.1815
2015-07-07,1.3391
2015-07-08,-10.3351
2015-07-09,1.0526
2015-07-10,6.8229
2015-07-13,-4.2418
2015-07-14,-0.8656
2015-07-15,-0.0514
2015-07-16,0.3083
2015-07-17,2.6639
2015-07-20,-1.0977999999999999
2015-07-21,0.6559
2015-07-22,-1.1028
2015-07-23,0.6589
2015-07-24,-1.1581
2015-07-27,-9.1696
2015-07-28,-9.0858
2015-07-29,2.8994
2015-07-30,2.518
2015-07-31,-3.2749
2015-08-03,-2.5998
2015-08-04,-6.2073
2015-08-05,-1.3898
2015-08-06,-1.3423
2015-08-07,-1.9727999999999999
2015-08-10,1.7349
2015-08-11,-4.9795
2015-08-12,-3.4458
2015-08-13,-6.0223
2015-08-14,1.7405
2015-08-17,4.8989
2015-08-18,-5.6338
2015-08-19,-2.0424
2015-08-20,3.9294000000000002
2015-08-21,4.0895
2015-08-24,-3.0022
2015-08-25,-0.0382
2015-08-26,-1.2997
2015-08-27,-1.0844
2015-08-28,2.9757
2015-08-31,4.8669
2015-09-01,-7.3967
2015-09-02,1.7227999999999999
2015-09-03,1.0008
2015-09-04,0.3811
2015-09-08,4.1762
2015-09-09,-5.3207
2015-09-10,7.9292
2015-09-11,10.6277
2015-09-14,2.3856
2015-09-15,3.0856
2015-09-16,-0.0611
2015-09-17,0.489
2015-09-18,-3.163
2015-09-21,-4.0201
2015-09-22,-5.1047
2015-09-23,-1.4483
2015-09-24,1.6795
2015-09-25,-1.7206000000000001
2015-09-28,-3.7815
2015-09-29,4.0757
2015-09-30,9.5105
2015-10-01,0.2554
2015-10-02,7.3248
2015-10-05,1.1276
2015-10-06,1.3498
2015-10-07,0.8107
2015-10-08,-1.436
2015-10-09,-5.6527
2015-10-12,-0.6177
2015-10-13,-1.6159
2015-10-14,-1.3898
2015-10-15,-0.6406
2015-10-16,2.7079
2015-10-19,2.0716
2015-10-20,-0.6765
