ticker,SEGI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-09-24,414.2857
2010-09-28,-16.6667
2010-09-29,-40.0
2010-09-30,11.1111
2010-10-12,50.0
2010-10-13,-16.6667
2010-10-14,-60.0
2010-10-15,-50.0
2010-10-18,-20.0
2010-10-19,15.625
2010-10-20,-35.1351
2010-10-22,216.6667
2010-10-25,-26.3158
2010-10-26,0.0
2010-10-27,-11.607099999999999
2010-10-28,158.5859
2010-10-29,25.0
2010-11-01,0.0
2010-11-02,-20.0
2010-11-03,37.5
2010-11-04,-9.0909
2010-11-05,0.0
2010-11-08,0.0
2010-11-09,-5.0
2010-11-10,-21.0526
2010-11-11,17.9167
2010-11-12,2.4735
2010-11-15,10.3448
2010-11-16,-7.5
2010-11-17,-18.9189
2010-11-18,13.3333
2010-11-19,0.0
2010-11-22,5.8824
2010-11-23,2.7778
2010-11-24,-35.1351
2010-11-26,8.3333
2010-11-29,-7.6923
2010-11-30,25.0
2010-12-01,-33.3333
2010-12-02,50.0
2010-12-03,0.0
2010-12-06,-6.6667
2010-12-07,-10.7143
2010-12-08,-12.0
2010-12-09,-9.0909
2010-12-10,36.875
2010-12-13,-26.9406
2010-12-14,40.0
2010-12-15,-7.1429
2010-12-16,15.3846
2010-12-17,6.6667
2010-12-20,12.5
2010-12-21,-7.6389
2010-12-22,-9.7744
2010-12-23,-3.3333
2010-12-27,6.8966
2010-12-28,34.2742
2010-12-29,-9.3093
2010-12-30,-15.2318
2010-12-31,0.0
2011-01-03,6.25
2011-01-04,0.0
2011-01-05,-6.9853
2011-01-06,1.1858
2011-01-07,-6.25
2011-01-10,0.0
2011-01-11,0.0
2011-01-12,0.0
2011-01-13,-12.0833
2011-01-14,9.0047
2011-01-18,-9.5652
2011-01-19,12.5
2011-01-21,-4.2735
2011-01-24,-7.1429
2011-01-25,-6.25
2011-01-28,2.5641
2011-01-31,6.5
2011-02-01,0.4695
2011-02-02,4.6729
2011-02-04,-2.2321
2011-02-07,0.0
2011-02-08,-2.2831
2011-02-09,-5.6075
2011-02-10,-0.9901
2011-02-11,-4.0
2011-02-14,0.0
2011-02-15,-6.7708
2011-02-16,-10.6145
2011-02-17,-3.75
2011-02-18,-6.4935
2011-02-22,33.3333
2011-02-23,-1.0417
2011-02-24,-7.3684
2011-02-25,22.7273
2011-02-28,-11.1111
2011-03-01,-8.3333
2011-03-02,9.0909
2011-03-03,-19.7917
2011-03-04,72.7273
2011-03-07,-27.8195
2011-03-08,16.6667
