ticker,NHCMF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-05,3.8462
2000-01-14,296.2963
2000-01-17,0.0
2000-01-18,8.411200000000001
2000-01-19,-10.3448
2000-01-21,59.6154
2000-01-24,39.759
2000-01-25,-2.5862
2000-01-26,11.5044
2000-01-27,165.0794
2000-01-28,32.9341
2000-01-31,21.2838
2000-02-01,-6.0353
2000-02-02,7.5099
2000-02-03,68.8879
2000-02-07,11.3469
2000-02-08,-7.3314
2000-02-09,-25.4219
2000-02-10,-8.0622
2000-02-11,5.2308
2000-02-15,12.3904
2000-02-16,16.4228
2000-02-17,4.8045
2000-02-18,2.3454
2000-02-21,0.0
2000-02-22,-5.4167
2000-02-23,-1.4317
2000-02-24,3.2402
2000-02-25,-0.8658
2000-02-28,-1.2009
2000-02-29,-7.6243
2000-03-01,-0.7177
2000-03-02,8.4337
2000-03-03,2.2222
2000-03-06,-4.8913
2000-03-07,-3.4286
2000-03-08,-10.6509
2000-03-09,22.649
2000-03-10,5.3996
2000-03-13,15.8811
2000-03-14,12.9973
2000-03-15,-8.6072
2000-03-16,-1.0274
2000-03-17,11.6782
2000-03-20,-0.0775
2000-03-21,-5.0388
2000-03-22,-7.9184
2000-03-23,-7.3582
2000-03-24,13.3971
2000-03-27,-5.8228
2000-03-28,-6.2724
2000-03-29,-10.325
2000-03-30,-21.855
2000-03-31,-1.296
2000-04-03,2.557
2000-04-04,-10.1078
2000-04-05,14.093
2000-04-06,13.6662
2000-04-07,4.7688
2000-04-10,3.9448
2000-04-12,-29.1932
2000-04-13,0.1499
2000-04-14,-22.9042
2000-04-17,-1.5534
2000-04-18,17.9487
2000-04-19,-1.505
2000-04-24,-20.3735
2000-04-28,14.4989
2000-05-01,3.7244
2000-05-04,-9.8743
2000-05-08,6.7729
2000-05-12,21.4552
2000-05-16,2.9186
2000-05-19,-10.4478
2000-05-23,-3.6667
2000-05-24,-1.0381
2000-05-25,-0.3497
2000-05-30,-2.807
2000-06-01,10.5596
2000-06-06,-1.7143000000000002
2000-06-08,0.0
2000-06-09,3.9867
2000-06-12,4.8722
2000-06-14,1.3709
2000-06-15,-4.2074
2000-06-16,27.0588
2000-06-19,0.3704
2000-06-20,-1.353
2000-06-21,-7.1072
2000-06-22,4.4295
2000-06-23,4.6272
2000-06-26,-7.0025
2000-06-27,0.0
2000-06-28,-4.0951
2000-06-29,-80.303
2000-06-30,417.4825
2000-07-06,4.0541
2000-07-07,-3.8961
2000-07-10,-6.0811
