ticker,PRVL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-06-20,-20.0
2019-06-21,6.6176
2019-06-24,8.3448
2019-06-25,-4.5194
2019-06-26,0.0
2019-06-27,0.0
2019-06-28,-12.0
2019-07-01,-14.8485
2019-07-02,-5.516
2019-07-03,-1.3183
2019-07-05,0.2863
2019-07-08,6.9458
2019-07-09,1.1566
2019-07-10,1.4072
2019-07-11,5.2038
2019-07-12,-4.2045
2019-07-15,5.4217
2019-07-16,0.1633
2019-07-17,-1.3855
2019-07-18,-4.2149
2019-07-19,0.4314
2019-07-22,4.811
2019-07-23,-1.8033000000000001
2019-07-24,-3.6728
2019-07-25,-0.4333
2019-07-26,-0.7833
2019-07-29,-0.2632
2019-07-30,0.1759
2019-07-31,2.8095
2019-08-01,-0.3416
2019-08-02,-2.9991
2019-08-05,-7.4205
2019-08-06,0.1908
2019-08-07,-8.857099999999999
2019-08-08,-15.883
2019-08-09,20.4969
2019-08-12,-1.8557000000000001
2019-08-13,7.1429
2019-08-14,1.5686
2019-08-15,0.1931
2019-08-16,5.0096
2019-08-19,0.1835
2019-08-20,2.1062
2019-08-21,4.9327
2019-08-22,-1.1111
2019-08-23,2.7658
2019-08-26,-2.9436999999999998
2019-08-27,3.9861
2019-08-28,-1.6667
2019-08-29,0.678
2019-08-30,-4.7138
2019-09-03,-2.9152
2019-09-04,-4.0036
2019-09-05,-4.0758
2019-09-06,-1.1858
2019-09-09,-9.1
2019-09-10,3.6304
2019-09-11,-2.2293
2019-09-12,16.9381
2019-09-13,8.6351
2019-09-16,2.5641
2019-09-17,-1.1667
2019-09-18,2.3609
2019-09-19,6.2603
2019-09-20,5.1163
2019-09-23,12.1681
2019-09-24,-3.1558
2019-09-25,-14.7318
2019-09-26,-1.9108
2019-09-27,-4.8701
2019-09-30,4.7782
2019-10-01,0.3257
2019-10-02,-6.25
2019-10-03,-1.5584
2019-10-04,-8.4433
2019-10-07,-2.8818
2019-10-08,-0.0989
2019-10-09,0.396
2019-10-10,-3.4516999999999998
2019-10-11,4.2901
2019-10-14,-3.1342
2019-10-15,2.73
2019-10-16,7.9724
2019-10-17,-0.5469
2019-10-18,-1.9247999999999998
2019-10-21,-2.1495
2019-10-22,2.0057
2019-10-23,1.3109
2019-10-24,-1.2939
2019-10-25,2.4345
2019-10-28,-1.5539
2019-10-29,7.0566
2019-10-30,-0.0867
2019-10-31,-4.3403
2019-11-01,-1.0889
2019-11-04,-2.844
2019-11-05,3.966
2019-11-06,-4.6322
