ticker,CLNE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-05-25,0.3333
2007-05-29,0.0
2007-05-30,-0.3322
2007-05-31,2.9167
2007-06-01,6.1538
2007-06-04,0.4577
2007-06-05,0.4556
2007-06-06,-4.006
2007-06-07,0.3937
2007-06-08,-0.2353
2007-06-11,-0.8648
2007-06-12,1.4274
2007-06-13,0.86
2007-06-14,1.1628
2007-06-15,0.2299
2007-06-18,1.7584
2007-06-19,2.0285
2007-06-20,-0.8837
2007-06-21,-1.4859
2007-06-22,-5.279
2007-06-25,-5.8121
2007-06-26,-0.6762
2007-06-27,1.617
2007-06-28,4.6901
2007-06-29,0.48
2007-07-02,1.9108
2007-07-03,0.625
2007-07-05,1.4752
2007-07-06,0.306
2007-07-09,1.4483
2007-07-10,-4.1344
2007-07-11,1.9607999999999999
2007-07-12,1.8462
2007-07-13,1.5106000000000002
2007-07-16,11.3095
2007-07-17,1.738
2007-07-18,4.9277
2007-07-19,-3.1935000000000002
2007-07-20,2.9754
2007-07-23,9.7362
2007-07-24,-5.5524000000000004
2007-07-25,-3.0303
2007-07-26,-6.0
2007-07-27,-4.1223
2007-07-30,-4.0222
2007-07-31,14.3064
2007-08-01,-6.0051
2007-08-02,6.2542
2007-08-03,-2.2152
2007-08-06,5.5663
2007-08-07,3.924
2007-08-08,5.9587
2007-08-09,0.3341
2007-08-10,-2.552
2007-08-13,-1.7661
2007-08-14,-22.6087
2007-08-15,-3.9699999999999998
2007-08-16,-9.9064
2007-08-17,4.8485
2007-08-20,-3.2205
2007-08-21,4.5222
2007-08-22,10.2857
2007-08-23,-1.6284
2007-08-24,3.0098
2007-08-27,-3.5793
2007-08-28,-0.0758
2007-08-29,2.8810000000000002
2007-08-30,1.6949
2007-08-31,-0.3623
2007-09-04,4.0727
2007-09-05,-2.0266
2007-09-06,0.3566
2007-09-07,-2.3454
2007-09-10,-3.5662000000000003
2007-09-11,-7.1698
2007-09-12,-3.7398
2007-09-13,5.4899000000000004
2007-09-14,0.8807
2007-09-17,-3.0159
2007-09-18,5.0736
2007-09-19,14.875399999999999
2007-09-20,8.1356
2007-09-21,2.0071
2007-09-24,-4.6104
2007-09-25,-4.0593
2007-09-26,2.6192
2007-09-27,-3.4031000000000002
2007-09-28,2.5745
2007-10-01,3.1044
2007-10-02,6.0866
2007-10-03,-4.107
2007-10-04,1.5743
2007-10-05,-2.5418
2007-10-08,2.2901
2007-10-09,-0.3731
2007-10-10,4.6192
2007-10-11,-2.4463
