ticker,FREEF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-12-19,-0.7407
2005-12-20,-0.5597
2005-12-21,1.3133
2005-12-22,-1.1111
2005-12-27,0.0
2005-12-29,1.1236
2006-01-04,-0.1852
2006-01-05,0.1855
2006-01-10,0.0
2006-01-11,-0.6296
2006-01-12,1.5654
2006-01-17,-1.6514
2006-01-19,0.0
2006-01-20,0.0
2006-01-23,-2.9851
2006-01-24,1.3462
2006-01-25,-0.759
2006-01-27,-1.7208
2006-01-30,0.3891
2006-01-31,0.0
2006-02-01,-2.1318
2006-02-02,1.9802
2006-02-03,-1.9417
2006-02-06,-0.7921
2006-02-07,-0.1996
2006-02-08,-1.6
2006-02-09,-0.4065
2006-02-10,1.6327
2006-02-13,-1.6064
2006-02-15,2.449
2006-02-16,-0.996
2006-02-17,1.6097000000000001
2006-02-21,-0.8119
2006-02-23,-0.1797
2006-02-27,-6.0
2006-02-28,4.2553
2006-03-02,-3.0612
2006-03-06,-5.2632
2006-03-08,2.2222
2006-03-09,0.0
2006-03-15,1.087
2006-03-16,1.0753
2006-03-20,1.0638
2006-03-21,0.0
2006-03-22,-3.1579
2006-03-23,0.0
2006-03-24,2.1739
2006-03-27,1.0638
2006-03-28,-1.0526
2006-03-29,0.0
2006-04-05,3.1915
2006-04-06,-4.1237
2006-04-07,0.4301
2006-04-10,0.2141
2006-04-21,-1.7094
2006-04-24,-0.8261
2006-04-25,-1.7974999999999999
2006-05-05,3.817
2006-05-08,-1.0965
2006-05-11,-2.8261
2006-05-12,-1.1186
2006-05-18,-0.4525
2006-05-23,-1.1364
2006-05-24,0.0
2006-05-31,0.0
2006-06-01,-3.2184
2006-06-02,3.3254
2006-06-05,3.4483
2006-06-06,3.3333
2006-06-07,-1.0753
2006-06-08,-13.2609
2006-06-12,-0.5013
2006-06-13,6.5491
2006-06-20,-4.9645
2006-06-21,-6.9652
2006-06-22,-2.4064
2006-06-26,2.4657999999999998
2006-06-27,2.6738
2006-06-30,-3.6458
2006-07-05,4.0541
2006-07-06,2.5974
2006-07-10,0.0
2006-07-11,7.3418
2006-07-12,-7.0755
2006-07-13,-0.2538
2006-07-14,-0.2545
2006-07-17,-3.0612
2006-07-18,2.6316
2006-07-24,-3.8462
2006-07-25,5.3333
2006-07-27,7.5949
2006-07-28,-1.4118
2006-08-04,7.1599
2006-08-07,2.4499
2006-08-08,-4.5652
2006-08-10,4.7836
2006-08-15,-7.6087
2006-08-16,-4.4706
2006-08-17,9.6059
