ticker,AAL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-12-10,1.1381999999999999
2013-12-11,4.4614
2013-12-12,-2.0777
2013-12-13,3.0648
2013-12-16,1.4487
2013-12-17,-1.9165999999999999
2013-12-18,0.4981
2013-12-19,-0.4194
2013-12-20,0.804
2013-12-23,-0.5697
2013-12-24,0.2674
2013-12-26,-0.4571
2013-12-27,-4.5542
2013-12-30,-0.6415
2013-12-31,1.8967
2014-01-02,0.4356
2014-01-03,4.6530000000000005
2014-01-06,1.8463
2014-01-07,-0.4624
2014-01-08,2.6947
2014-01-09,6.4785
2014-01-10,-0.2379
2014-01-13,-2.385
2014-01-14,0.7679
2014-01-15,-0.1039
2014-01-16,1.7337
2014-01-17,2.3177
2014-01-21,2.1319
2014-01-22,1.7612999999999999
2014-01-23,0.4808
2014-01-24,-3.0303
2014-01-27,-0.7237
2014-01-28,5.8979
2014-01-29,3.1915
2014-01-30,2.4864
2014-01-31,-0.7396
2014-02-03,1.2221
2014-02-04,0.265
2014-02-05,-0.7342
2014-02-06,2.5444
2014-02-07,2.914
2014-02-10,-0.2523
2014-02-11,-1.2648
2014-02-12,-1.2525
2014-02-13,0.9657
2014-02-14,-1.7559
2014-02-18,-0.2906
2014-02-19,0.8161
2014-02-20,3.0934
2014-02-21,1.4302000000000001
2014-02-24,1.3271
2014-02-25,0.955
2014-02-26,-0.6757
2014-02-27,-0.517
2014-02-28,1.012
2014-03-03,-2.2475
2014-03-04,3.4349
2014-03-05,1.3926
2014-03-06,2.5092
2014-03-07,0.5411
2014-03-10,-0.1538
2014-03-11,-2.2587
2014-03-12,-1.3659
2014-03-13,-2.1828
2014-03-14,-1.0887
2014-03-17,3.7424
2014-03-18,-0.9284
2014-03-19,-0.7229
2014-03-20,-1.4024
2014-03-21,-1.2309
2014-03-24,1.9108
2014-03-25,2.9891
2014-03-26,-3.1662
2014-03-27,-2.5341
2014-03-28,-1.0623
2014-03-31,3.419
2014-04-01,3.6612
2014-04-02,-0.6062
2014-04-03,-0.9812
2014-04-04,-2.0889
2014-04-07,-2.1335
2014-04-08,0.559
2014-04-09,2.557
2014-04-10,-4.3631
2014-04-11,-4.5626
2014-04-14,-0.9201
2014-04-15,1.0488
2014-04-16,5.3084
2014-04-17,-0.3098
2014-04-21,0.7627
2014-04-22,1.3737
2014-04-23,2.5719
2014-04-24,0.4583
2014-04-25,-3.3816
2014-04-28,-2.3333
2014-04-29,0.9954
2014-04-30,-1.2391
2014-05-01,3.7639
