ticker,NMBF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-05-04,0.0
2018-05-14,0.0
2018-06-01,-22.3333
2018-06-04,7.2961
2018-07-20,2.0
2018-08-23,4.902
2018-09-05,0.0
2018-09-11,0.0
2018-10-10,2.8037
2018-11-07,-4.5455
2018-11-09,0.0
2018-11-19,0.0
2018-11-27,0.9524
2018-12-12,-0.9434
2018-12-14,-3.8095
2018-12-21,-8.9109
2019-01-07,-11.9565
2019-01-23,0.0
2019-01-29,0.0
2019-01-30,0.0
2019-02-07,11.1111
2019-02-12,-8.6667
2019-02-13,3.6496
2019-02-14,1.1737
2019-02-15,-1.1601
2019-03-12,6.8075
2019-03-19,-0.5495
2019-03-20,-3.8674
2019-03-29,-0.4598
2019-04-01,0.0
2019-04-09,0.0
2019-04-26,6.2356
2019-05-06,-3.2609
2019-05-23,0.0
2019-05-24,0.0
2019-06-03,-8.764
2019-06-04,4.6798
2019-06-19,12.9412
2019-06-20,-2.0833
2019-06-21,5.3191
2019-06-26,1.0101
2019-07-02,20.0
2019-07-10,4.1667
2019-07-18,4.0
2019-08-13,0.0
2019-09-04,-15.3846
2019-09-06,-18.1818
2019-09-12,33.3333
2019-09-17,-8.1667
2019-12-04,-7.441
2020-01-10,4.1176
2020-03-03,-5.4614
2020-03-05,4.5817
2020-06-24,-5.9048
2020-06-25,0.2024
2020-06-29,7.0707
2020-06-30,0.0
2020-07-09,1.8868
2020-07-27,-15.7407
