ticker,ADVV US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-02-13,0.0
2018-02-16,0.0
2018-03-23,100.0
2018-04-18,175.0
2018-04-24,-43.6364
2018-05-16,-35.4839
2018-05-17,0.0
2018-05-18,20.5
2018-05-21,1.6598000000000002
2018-05-22,-3.2653
2018-05-23,-7.173
2018-05-24,0.0
2018-05-25,2.2727
2018-05-29,-2.2222
2018-05-30,2.2727
2018-05-31,2.2222
2018-06-01,-4.3478
2018-06-04,0.0
2018-06-07,2.2727
2018-06-08,-8.8889
2018-06-11,17.0732
2018-06-12,-2.0833
2018-06-13,-4.2553
2018-06-15,4.8889
2018-06-18,-3.2203
2018-06-19,-1.0508
2018-06-20,0.4425
2018-06-21,-0.4405
2018-06-22,0.4425
2018-06-25,-0.4405
2018-06-26,4.8673
2018-06-28,0.0
2018-06-29,3.3755
2018-07-02,2.0408
2018-07-03,0.0
2018-07-05,2.8
2018-07-06,-8.5603
2018-07-09,9.3617
2018-07-11,-2.7237
2018-07-12,0.0
2018-07-13,0.0
2018-07-16,0.0
2018-07-18,-2.0
2018-07-20,-4.0816
2018-07-23,-2.1277
2018-07-24,4.3478
2018-07-25,2.0833
2018-07-27,-2.0408
2018-07-31,-2.0833
2018-08-02,-3.8298
2018-08-03,0.0
2018-08-06,3.9823
2018-08-08,2.1277
2018-08-09,0.0
2018-08-10,0.0
2018-08-13,-6.25
2018-08-14,7.5556
2018-08-15,-7.0248
2018-08-17,-0.4444
2018-08-27,0.0
2018-08-28,0.0
2018-08-29,2.6786
2018-08-30,-1.3043
2018-08-31,-0.4405
2018-09-04,-0.4425
2018-09-05,0.8889
2018-09-07,-1.3216
2018-09-11,-15.1786
2018-09-12,0.0
2018-09-14,13.1579
2018-09-17,6.9767
2018-09-18,2.1739
2018-09-19,6.383
2018-09-20,0.0
2018-09-21,-6.0
2018-09-24,2.1277
2018-09-25,0.0
2018-09-26,0.8333
2018-09-27,-1.6529
2018-09-28,0.8403
2018-10-01,0.8333
2018-10-02,1.2397
2018-10-03,-2.0408
2018-10-04,-0.4167
2018-10-05,-0.4184
2018-10-08,2.1008
2018-10-09,0.823
2018-10-10,-0.8163
2018-10-11,-9.0535
2018-10-12,8.5973
2018-10-15,-2.0833
2018-10-16,-2.1277
2018-10-17,-2.1739
2018-10-18,-1.7778
2018-10-24,0.4525
2018-10-25,-0.9009
2018-10-26,21.8182
2018-10-29,-2.9851
2018-10-30,-8.461500000000001
2018-10-31,0.0
2018-11-01,0.0
