ticker,ORC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-02-14,-1.3333
2013-02-15,0.0
2013-02-19,-0.3378
2013-02-20,0.339
2013-02-21,-0.4054
2013-02-22,0.0
2013-02-25,-0.4749
2013-02-26,0.1363
2013-02-27,-0.6127
2013-02-28,-0.7534
2013-03-01,-0.6211
2013-03-04,0.625
2013-03-05,-0.6211
2013-03-06,0.3472
2013-03-07,-0.346
2013-03-08,2.0139
2013-03-11,-0.953
2013-03-12,-1.0309
2013-03-13,0.6944
2013-03-14,0.3448
2013-03-15,-3.0928
2013-03-18,1.0638
2013-03-19,-0.3509
2013-03-20,1.0563
2013-03-21,-0.1742
2013-03-22,-2.6084
2013-03-25,-0.7227
2013-03-26,1.9679
2013-03-27,-1.0007
2013-03-28,0.9323
2013-04-01,-0.2799
2013-04-02,-1.1478
2013-04-03,-0.1451
2013-04-04,0.3634
2013-04-05,1.1631
2013-04-08,-2.295
2013-04-09,0.5861
2013-04-10,1.748
2013-04-11,-0.1074
2013-04-12,-2.3289
2013-04-15,-0.5869
2013-04-16,-0.2214
2013-04-17,-1.3979
2013-04-18,0.5176
2013-04-19,-1.4179
2013-04-22,1.3626
2013-04-23,-0.1867
2013-04-24,-0.0756
2013-04-25,-0.2662
2013-04-26,0.191
2013-04-29,1.8168
2013-04-30,-0.3708
2013-05-01,-0.1502
2013-05-02,0.0
2013-05-03,0.9716
2013-05-06,-0.8882
2013-05-07,0.5975
2013-05-08,-0.3712
2013-05-09,-0.8942
2013-05-10,0.9774
2013-05-13,-0.8191
2013-05-14,-0.0751
2013-05-15,-1.127
2013-05-16,1.0638
2013-05-17,0.3008
2013-05-20,0.9745
2013-05-21,-0.7572
2013-05-22,2.5583
2013-05-23,-0.9117
2013-05-24,-0.0743
2013-05-28,-4.3155
2013-05-29,-0.8563
2013-05-30,-2.2736
2013-05-31,-3.6116
2013-06-03,0.9159
2013-06-04,-2.5578
2013-06-05,-0.0847
2013-06-06,4.2288
2013-06-07,-0.3171
2013-06-10,1.3866
2013-06-11,0.6436
2013-06-12,-0.9592
2013-06-13,1.6141999999999999
2013-06-14,-2.3828
2013-06-17,1.546
2013-06-18,-3.2051
2013-06-19,0.5381
2013-06-20,-4.0758
2013-06-21,2.7897
2013-06-24,-5.55
2013-06-25,-0.5622
2013-06-26,2.6079
2013-06-27,-0.4382
2013-06-28,-0.6162
2013-07-01,-0.7972
2013-07-02,0.7143
2013-07-03,0.1773
2013-07-05,-0.9735
