ticker,DSX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-03-18,1.7647
2005-03-21,-0.2312
2005-03-22,1.3905
2005-03-23,-0.4571
2005-03-24,-0.3444
2005-03-28,-1.3825
2005-03-29,-8.7033
2005-03-30,5.5662
2005-03-31,0.2424
2005-04-01,3.1439
2005-04-04,-0.3517
2005-04-05,-1.9412
2005-04-06,0.5399
2005-04-07,-0.9547
2005-04-08,-1.2048
2005-04-11,-3.0488
2005-04-12,-0.6289
2005-04-13,-0.3797
2005-04-14,-1.1436
2005-04-15,-2.3136
2005-04-18,-0.3289
2005-04-19,2.3102
2005-04-20,0.0
2005-04-21,0.6452
2005-04-22,-0.8974
2005-04-25,3.2342
2005-04-26,-1.1905000000000001
2005-04-27,-1.7755
2005-04-28,-8.2634
2005-04-29,0.2815
2005-05-02,-7.6491
2005-05-03,6.7629
2005-05-04,1.21
2005-05-05,6.5401
2005-05-06,2.2442
2005-05-09,2.6469
2005-05-10,-1.8868
2005-05-11,-4.1026
2005-05-12,-3.2086
2005-05-13,-3.0556
2005-05-16,2.5788
2005-05-17,2.933
2005-05-18,1.5604
2005-05-19,1.6032
2005-05-20,2.2354
2005-05-23,1.2862
2005-05-24,-1.7778
2005-05-25,-1.7452999999999999
2005-05-26,0.0
2005-05-27,0.0
2005-05-31,1.9737
2005-06-01,0.7097
2005-06-02,-0.1922
2005-06-03,-0.8344
2005-06-06,0.9709
2005-06-07,-0.3205
2005-06-08,-4.7588
2005-06-09,0.5402
2005-06-10,0.0672
2005-06-13,-2.6174
2005-06-14,0.2757
2005-06-15,0.2062
2005-06-16,3.2236
2005-06-17,-0.1993
2005-06-20,-2.3968
2005-06-21,0.6139
2005-06-22,5.0847
2005-06-23,-3.2258
2005-06-24,-3.0
2005-06-27,1.5808
2005-06-28,-1.1502
2005-06-29,-0.0684
2005-06-30,0.274
2005-07-01,-1.9809
2005-07-05,1.6724999999999999
2005-07-06,0.0685
2005-07-07,-0.5479
2005-07-08,-0.1377
2005-07-11,-3.4483
2005-07-12,-0.7143
2005-07-13,0.1439
2005-07-14,0.9339
2005-07-15,-0.7117
2005-07-18,0.3584
2005-07-19,0.7857
2005-07-20,0.3544
2005-07-21,0.6356
2005-07-22,-3.3684
2005-07-25,-3.8489
2005-07-26,2.719
2005-07-27,-3.0882
2005-07-28,-2.2762000000000002
2005-07-29,0.854
2005-08-01,-4.0801
2005-08-02,1.1236
2005-08-03,6.3492
2005-08-04,2.9851
2005-08-05,1.5217
