ticker,TEUFF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-04-14,-8.3333
2011-04-15,2.7273
2011-04-18,-2.3894
2011-04-19,-0.0499
2011-04-20,0.7755
2011-04-21,-3.1503
2011-04-25,-0.9294
2011-04-26,-0.9381
2011-04-27,5.1136
2011-04-28,1.8018
2011-04-29,0.0885
2011-05-02,1.6799
2011-05-03,-0.2609
2011-05-04,-3.5745
2011-05-05,-1.3562
2011-05-06,-3.6664
2011-05-09,-0.5709
2011-05-10,0.2871
2011-05-11,-0.5725
2011-05-12,-1.5354999999999999
2011-05-13,-0.9747
2011-05-16,0.3937
2011-05-17,-1.8627
2011-05-18,0.3996
2011-05-19,0.796
2011-05-20,-0.9872
2011-05-23,1.7946
2011-05-24,5.3869
2011-05-25,0.3717
2011-05-26,-0.6481
2011-05-27,0.6524
2011-05-31,0.463
2011-06-01,0.0
2011-06-02,-1.7511999999999999
2011-06-03,-1.3133
2011-06-06,-0.3802
2011-06-07,0.0954
2011-06-08,-3.7178
2011-06-09,-1.1881
2011-06-10,-4.008
2011-06-13,-4.2797
2011-06-14,1.5267
2011-06-15,2.3631
2011-06-16,-1.3641
2011-06-17,0.6383
2011-06-20,-0.3171
2011-06-21,0.0
2011-06-22,4.0297
2011-06-23,-2.1407
2011-06-24,-0.8333
2011-06-27,3.5714
2011-06-28,0.1014
2011-06-29,-0.2026
2011-06-30,0.3046
2011-07-01,-0.5061
2011-07-05,0.1017
2011-07-06,1.3211
2011-07-07,0.3009
2011-07-08,0.0
2011-07-11,-0.6
2011-07-12,0.2012
2011-07-13,4.9197
2011-07-14,2.3923
2011-07-15,0.3598
2011-07-18,0.759
2011-07-19,-0.1848
2011-07-20,1.3889
2011-07-21,2.1005
2011-07-22,0.1789
2011-07-25,-0.2679
2011-07-26,-1.0743
2011-07-27,-4.8869
2011-07-28,-2.8544
2011-07-29,3.428
2011-08-01,1.0417
2011-08-02,-4.4049
2011-08-03,3.4314
2011-08-04,-8.6256
2011-08-05,-3.7344
2011-08-08,-10.8836
2011-08-09,8.7062
2011-08-10,0.8899
2011-08-11,0.2205
2011-08-12,2.7964
2011-08-15,3.3731999999999998
2011-08-16,-2.6316
2011-08-17,-0.5405
2011-08-18,-9.0109
2011-08-19,-7.6574
2011-08-22,-0.2587
2011-08-23,0.7782
2011-08-24,6.5637
2011-08-25,1.4493
2011-08-26,1.0714
2011-08-29,11.3074
2011-08-30,4.4444
2011-08-31,-1.5198
2011-09-01,0.3086
2011-09-02,-3.8974
