ticker,BHLL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-01-26,30.0
2010-01-27,53.8462
2010-03-25,220.0
2010-03-26,0.0
2010-03-29,0.0
2010-03-30,0.0
2010-04-01,6.25
2010-04-05,-49.4118
2010-04-06,-6.9767
2010-04-07,12.5
2010-04-08,28.8889
2010-04-09,17.2414
2010-04-12,30.8824
2010-04-13,1.1236
2010-04-14,6.6667
2010-04-15,-6.25
2010-04-16,-3.8889
2010-04-19,-0.578
2010-04-20,4.6512
2010-04-21,0.0
2010-04-22,1.1111
2010-04-23,5.4945
2010-04-26,-4.1667
2010-04-27,0.0
2010-04-28,5.4348
2010-04-29,5.1546
2010-04-30,0.0
2010-05-03,0.9804
2010-05-04,0.0
2010-05-05,-1.9417
2010-05-06,-0.9901
2010-05-07,0.0
2010-05-10,2.0
2010-05-11,-1.9607999999999999
2010-05-12,0.0
2010-05-13,0.0
2010-05-14,-4.0
2010-05-17,6.25
2010-05-18,3.9215999999999998
2010-05-19,-1.8868
2010-05-20,0.0
2010-05-21,1.9231
2010-05-24,4.717
2010-05-25,3.6036
2010-05-26,2.6087
2010-05-27,-5.9322
2010-05-28,-3.6036
2010-06-01,-13.5514
2010-06-02,-15.675699999999999
2010-06-03,-1.2821
2010-06-04,16.8831
2010-06-07,-12.2222
2010-06-08,-24.0506
2010-06-09,16.6667
2010-06-10,2.8571
2010-06-11,-8.3333
2010-06-14,9.0909
2010-06-15,15.2778
2010-06-16,-6.0241
2010-06-17,-14.1026
2010-06-18,0.0
2010-06-21,-10.4478
2010-06-22,-26.6667
2010-06-23,4.5455
2010-06-24,15.2174
2010-06-25,11.3208
2010-06-28,-5.0847
2010-06-29,-11.607099999999999
2010-06-30,-13.1313
2010-07-01,16.2791
2010-07-02,0.0
2010-07-06,-12.0
2010-07-07,-11.3636
2010-07-08,12.8205
2010-07-09,-3.4091
2010-07-12,3.5294
2010-07-13,-1.1364
2010-07-14,-1.1494
2010-07-15,0.0
2010-07-16,0.0
2010-07-19,-13.9535
2010-07-20,8.1081
2010-07-21,-1.25
2010-07-22,-3.7975
2010-07-23,-2.6316
2010-07-26,-9.4595
2010-07-27,4.4776
2010-07-28,5.7143
2010-07-29,-5.4054
2010-07-30,-2.8571
2010-08-02,2.9412000000000003
2010-08-03,8.5714
2010-08-04,-7.8947
2010-08-05,-2.8571
2010-08-06,10.2941
2010-08-09,16.0
2010-08-10,10.3448
2010-08-11,-4.1667
2010-08-12,4.3478
2010-08-13,-6.25
