ticker,MSON US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-2.3810000000000002
2000-01-04,2.439
2000-01-05,0.0
2000-01-06,0.0
2000-01-07,0.0
2000-01-10,0.0
2000-01-11,0.0
2000-01-12,1.1905000000000001
2000-01-13,0.0
2000-01-14,9.4118
2000-01-18,3.2258
2000-01-19,8.3333
2000-01-20,-0.4808
2000-01-21,-1.4493
2000-01-24,-2.9412000000000003
2000-01-25,0.0
2000-01-26,23.2323
2000-01-27,5.7377
2000-01-28,-3.1008
2000-01-31,5.2
2000-02-01,0.3802
2000-02-02,-9.0909
2000-02-03,-4.1667
2000-02-04,4.7826
2000-02-07,1.2448
2000-02-08,4.0984
2000-02-09,-3.1496
2000-02-10,1.626
2000-02-11,0.8
2000-02-14,1.5873
2000-02-15,0.0
2000-02-16,4.6875
2000-02-17,5.9701
2000-02-18,-9.8592
2000-02-22,7.8125
2000-02-23,-2.1739
2000-02-24,-0.7407
2000-02-25,0.0
2000-02-28,-4.4776
2000-02-29,-4.6875
2000-03-01,4.918
2000-03-02,0.0
2000-03-03,0.7813
2000-03-06,5.4264
2000-03-07,2.9412000000000003
2000-03-08,-0.7143
2000-03-09,-5.036
2000-03-10,0.0
2000-03-13,2.2727
2000-03-14,-5.9259
2000-03-15,0.7874
2000-03-16,0.7813
2000-03-17,0.0
2000-03-20,48.062
2000-03-21,-16.2304
2000-03-22,-3.75
2000-03-23,12.987
2000-03-24,-2.2989
2000-03-27,-0.5882
2000-03-28,-1.7751000000000001
2000-03-29,-9.0361
2000-03-30,-5.9603
2000-03-31,-2.8169
2000-04-03,-9.7826
2000-04-04,6.0241
2000-04-05,8.3333
2000-04-06,0.0
2000-04-07,-2.7972
2000-04-10,-1.4388
2000-04-11,7.2993
2000-04-12,7.483
2000-04-13,-13.9241
2000-04-14,-5.8824
2000-04-17,-6.25
2000-04-18,16.6667
2000-04-19,-3.5714
2000-04-20,11.1111
2000-04-24,-5.3333
2000-04-25,12.6761
2000-04-26,-0.3125
2000-04-27,-5.3292
2000-04-28,-9.9338
2000-05-01,8.0882
2000-05-02,-5.4422
2000-05-03,-8.6331
2000-05-04,-2.3622
2000-05-05,2.4194
2000-05-08,5.5118
2000-05-09,-2.9851
2000-05-10,-5.3846
2000-05-11,-8.9431
2000-05-12,12.5
2000-05-15,9.5238
2000-05-16,0.0
2000-05-17,-1.4493
2000-05-18,5.8824
2000-05-19,-4.8611
2000-05-22,-11.6788
2000-05-23,5.7851
2000-05-24,0.0
