ticker,HYII US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-11-04,-70.1087
2013-11-05,-24.5455
2013-11-07,25.3012
2013-11-08,-7.6923
2013-11-11,-6.25
2013-11-12,6.6667
2013-11-13,8.3333
2013-11-14,-7.6923
2013-11-15,-22.9167
2013-11-18,202.7027
2013-11-19,-41.9643
2013-11-20,-12.3077
2013-11-21,-10.526299999999999
2013-11-22,9.8039
2013-11-25,-41.0714
2013-11-26,-39.3939
2013-11-27,5.0
2013-11-29,-4.7619
2013-12-02,-65.0
2013-12-03,28.5714
2013-12-04,-11.1111
2013-12-05,118.75
2013-12-06,-54.2857
2013-12-09,-18.75
2013-12-10,-23.0769
2013-12-11,10.0
2013-12-12,-27.2727
2013-12-13,-25.0
2013-12-16,0.0
2013-12-17,33.3333
2013-12-18,0.0
2013-12-19,-25.0
2013-12-20,-16.6667
2013-12-23,0.0
2013-12-24,-40.0
2013-12-26,66.6667
2013-12-27,-60.0
2013-12-30,50.0
2013-12-31,0.0
2014-01-02,0.0
2014-01-03,0.0
2014-01-06,-33.3333
2014-01-07,50.0
2014-01-08,0.0
2014-01-09,0.0
2014-01-10,0.0
2014-01-13,0.0
2014-01-14,0.0
2014-01-15,0.0
2014-01-16,0.0
2014-01-17,66.6667
2014-01-21,-40.0
2014-01-22,0.0
2014-01-23,0.0
2014-01-24,0.0
2014-01-27,-33.3333
2014-01-28,50.0
2014-01-29,0.0
2014-01-30,0.0
2014-01-31,66.6667
2014-02-03,0.0
2014-02-04,-40.0
2014-02-05,0.0
2014-02-06,0.0
2014-02-07,0.0
2014-02-10,0.0
2014-02-11,0.0
2014-02-12,0.0
2014-02-13,0.0
2014-02-14,0.0
2014-02-18,0.0
2014-02-19,66.6667
2014-02-20,0.0
2014-02-21,-40.0
2014-02-24,-33.3333
2014-02-25,50.0
2014-02-26,0.0
2014-02-27,0.0
2014-02-28,-33.3333
2014-03-03,50.0
2014-03-04,0.0
2014-03-05,0.0
2014-03-06,0.0
2014-03-07,0.0
2014-03-10,-33.3333
2014-03-11,50.0
2014-03-12,-33.3333
2014-03-13,50.0
2014-03-14,0.0
2014-03-17,-33.3333
2014-03-18,0.0
2014-03-19,50.0
2014-03-20,-33.3333
2014-03-21,0.0
2014-03-24,0.0
2014-03-25,0.0
2014-03-26,0.0
2014-03-27,50.0
2014-03-28,-33.3333
2014-03-31,0.0
2014-04-01,0.0
2014-04-02,0.0
2014-04-03,0.0
2014-04-04,50.0
2014-04-07,-46.6667
