ticker,ROIC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-10-31,0.0
2007-11-01,0.0
2007-11-02,0.0
2007-11-05,0.0
2007-11-06,0.0
2007-11-07,-0.1095
2007-11-08,0.0
2007-11-09,0.3289
2007-11-12,-0.3279
2007-11-13,0.0
2007-11-14,0.1096
2007-11-15,0.0
2007-11-16,0.0
2007-11-19,-0.1095
2007-11-20,0.0
2007-11-23,0.7662
2007-11-26,-0.5427
2007-11-27,-0.4376
2007-11-28,0.2198
2007-11-29,-0.1096
2007-11-30,-0.1098
2007-12-03,0.0
2007-12-05,0.5495
2007-12-06,0.0
2007-12-07,-0.4372
2007-12-10,0.0
2007-12-11,-0.1098
2007-12-12,0.0
2007-12-13,0.0
2007-12-14,0.4396
2007-12-18,0.6565
2007-12-19,-1.087
2007-12-20,2.6374
2007-12-21,0.1071
2007-12-24,-0.3209
2007-12-26,0.3219
2007-12-27,-2.6738
2007-12-28,0.2198
2007-12-31,0.5482
2008-01-02,-0.6543
2008-01-03,0.3293
2008-01-04,0.0
2008-01-07,1.3129
2008-01-08,-0.8639
2008-01-09,-0.1089
2008-01-10,0.8724
2008-01-11,-1.0811
2008-01-14,1.4208
2008-01-15,0.1078
2008-01-16,0.0
2008-01-17,-1.2917
2008-01-18,0.1091
2008-01-22,0.0
2008-01-23,0.3268
2008-01-24,-1.0858
2008-01-25,0.5488
2008-01-28,-0.2183
2008-01-29,-0.1094
2008-01-30,0.0
2008-01-31,0.3286
2008-02-01,-0.1092
2008-02-04,0.6557
2008-02-05,-0.8686
2008-02-06,0.3286
2008-02-07,0.5459
2008-02-08,-0.5429
2008-02-11,0.0
2008-02-12,0.1092
2008-02-13,0.8724
2008-02-14,-0.973
2008-02-15,-0.4367
2008-02-19,-0.5482
2008-02-20,1.323
2008-02-21,-0.3264
2008-02-22,0.5459
2008-02-25,0.1086
2008-02-26,0.5423
2008-02-27,0.3236
2008-02-28,0.1075
2008-02-29,-0.6445
2008-03-03,-0.3243
2008-03-04,-0.5423
2008-03-05,-0.1091
2008-03-06,0.1092
2008-03-07,-0.4362
2008-03-10,1.6429
2008-03-11,0.431
2008-03-12,-0.1073
2008-03-13,-0.2148
2008-03-14,-0.3229
2008-03-17,-1.0799
2008-03-18,1.7467000000000001
2008-03-19,-1.2876
2008-03-20,1.087
2008-03-24,0.0
2008-03-25,-0.2151
2008-03-26,0.0
2008-03-27,-0.3233
2008-03-28,0.0
2008-03-31,-0.6486
2008-04-01,0.1088
