ticker,HDVW US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-02-16,5.0
2017-02-27,-2.3810000000000002
2017-05-23,-2.439
2017-07-20,-3.26
2017-07-21,3.3699
2017-07-24,0.0
2017-07-25,75.0
2017-07-26,28.5714
2017-07-27,-4.4444
2017-07-31,0.4651
2017-08-01,0.6944
2017-08-02,5.5172
2017-08-04,1.3072
2017-08-07,0.6452
2017-08-08,10.6838
2017-08-09,-3.4749
2017-08-10,3.0
2017-08-11,0.9709
2017-08-14,0.7692
2017-08-15,2.0992
2017-08-16,1.6822
2017-08-17,1.2868
2017-08-18,-4.7187
2017-08-21,-4.7619
2017-08-22,3.6
2017-08-23,0.1931
2017-08-24,1.1561
2017-08-25,4.5714
2017-08-28,-2.5501
2017-08-29,-0.9346
2017-08-30,-14.1509
2017-08-31,15.3846
2017-09-01,0.7619
2017-09-05,-24.0076
2017-09-06,-0.7463
2017-09-07,2.5063
2017-09-11,-27.8729
2017-09-12,0.0
2017-09-13,-30.8475
2017-09-14,120.098
2017-09-15,-14.4766
2017-09-19,-6.25
2017-09-20,-2.5
2017-09-21,2.5641
2017-09-22,5.5556
2017-09-26,-9.7368
2017-09-28,2.0408
2017-09-29,1.4285999999999999
2017-10-02,4.2254
2017-10-03,-4.0541
2017-10-04,-18.0282
2017-10-05,20.2749
2017-10-06,-5.7143
2017-10-09,5.1515
2017-10-10,-13.8329
2017-10-11,-11.3712
2017-10-12,-0.3774
2017-10-13,0.3788
2017-10-16,-6.0377
2017-10-17,-24.498
2017-10-18,-39.3617
2017-10-19,35.0877
2017-10-20,-2.5974
2017-10-23,40.0
2017-10-24,-13.8095
2017-10-26,-1.105
2017-10-27,-29.6089
2017-10-30,3.1746
2017-10-31,7.6923
2017-11-01,-26.4286
2017-11-02,3.8834999999999997
2017-11-03,-6.5421
2017-11-06,-7.3
2017-11-07,-11.5534
2017-11-08,13.4163
2017-11-09,-21.7575
2017-11-10,-17.5208
2017-11-13,-6.4323
2017-11-14,-37.667
2017-11-15,39.8571
2017-11-16,2.0429
2017-11-17,0.1001
2017-11-21,-0.06
2017-11-22,-6.9982
2017-11-24,-24.6659
2017-11-27,9.158
2017-11-28,27.9562
2017-11-29,26.7894
2017-11-30,12.9032
2017-12-01,-2.8571
2017-12-04,-44.8529
2017-12-05,6.6667
2017-12-11,91.25
2017-12-12,-50.9804
2017-12-14,6.6667
2017-12-15,2.5
2017-12-18,2.439
2017-12-19,-34.5238
2017-12-26,5.4545
2017-12-29,37.931
