ticker,FSEA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-07-17,-2.5
2019-07-18,0.0
2019-07-19,-2.3785
2019-07-22,-3.3421
2019-07-23,0.3261
2019-07-24,-0.9751
2019-07-25,-1.0941
2019-07-26,-1.4381
2019-07-29,-0.4489
2019-07-30,1.2401
2019-07-31,0.7795
2019-08-01,0.442
2019-08-02,0.6601
2019-08-05,0.0
2019-08-06,-0.6557
2019-08-08,-1.3564
2019-08-09,0.8175
2019-08-12,0.5531
2019-08-13,-0.44
2019-08-14,-0.5525
2019-08-15,-0.8333
2019-08-16,0.056
2019-08-19,-0.224
2019-08-20,0.0
2019-08-21,0.0561
2019-08-22,-0.1683
2019-08-23,0.3371
2019-08-26,0.6719
2019-08-27,-0.1112
2019-08-28,0.0
2019-08-29,-0.3341
2019-08-30,0.4469
2019-09-03,-0.1112
2019-09-04,-0.3898
2019-09-05,0.5031
2019-09-06,0.6674
2019-09-09,-0.442
2019-09-10,1.1099
2019-09-11,0.6586
2019-09-12,2.8353
2019-09-13,0.3181
2019-09-16,-2.2199
2019-09-17,1.9459
2019-09-18,-2.439
2019-09-19,-1.8477999999999999
2019-09-20,-2.2148
2019-09-23,0.453
2019-09-24,0.5637
2019-09-25,1.4574
2019-09-26,3.7569
2019-09-27,-3.0884
2019-09-30,2.967
2019-10-01,-2.0555
2019-10-02,-1.933
2019-10-04,3.3333
2019-10-07,-2.9032
2019-10-08,2.4363
2019-10-17,-1.0811
2019-10-18,-0.4929
2019-10-21,-0.5986
2019-10-22,-0.7116
2019-10-23,0.2671
2019-10-24,0.111
2019-10-25,0.755
2019-10-28,-0.7493
2019-10-29,-0.1109
2019-10-30,-0.111
2019-10-31,1.6667
2019-11-01,-0.1093
2019-11-04,-1.4223
2019-11-05,0.6659
2019-11-06,0.882
2019-11-07,0.1956
2019-11-08,0.0229
2019-11-11,-0.1091
2019-11-12,0.2183
2019-11-13,0.2179
2019-11-14,0.0
2019-11-15,-0.5435
2019-11-20,-1.0929
2019-11-21,1.5470000000000002
2019-11-22,0.0
2019-11-25,0.0
2019-11-26,-0.8705
2019-11-27,-0.3293
2019-12-02,0.7709
2019-12-03,1.0929
2019-12-04,-2.4865
2019-12-06,0.8869
2019-12-09,1.5385
2019-12-10,0.4329
2019-12-11,0.7543
2019-12-12,-0.9626
2019-12-13,0.9719
2019-12-16,0.5348
2019-12-17,0.4255
2019-12-18,0.1059
2019-12-19,0.3175
2019-12-20,0.211
2019-12-24,-0.5263
