ticker,COLUF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-03-19,-12.441
2008-03-28,1.2897
2008-04-10,-9.942
2008-04-15,-7.2026
2008-04-17,6.7725
2008-04-29,0.9548
2008-04-30,-4.525
2008-05-01,-9.3684
2008-05-12,1.0077
2008-05-14,-0.2373
2008-05-16,-3.8064999999999998
2008-05-20,15.3588
2008-05-21,6.6279
2008-05-22,9.0308
2008-05-23,-0.5313
2008-05-27,-0.4525
2008-05-29,3.0303
2008-05-30,6.5993
2008-06-02,-5.317
2008-06-05,1.6999
2008-06-10,21.4661
2008-06-11,35.4777
2008-06-12,-3.1414
2008-06-13,0.6704
2008-06-16,-3.6403
2008-06-17,-4.2256
2008-06-18,-5.1881
2008-06-19,-2.2747
2008-06-20,-1.0942
2008-06-23,-1.1151
2008-06-24,5.4626
2008-06-25,-2.9526
2008-06-26,2.8121
2008-06-27,16.6772
2008-06-30,9.3623
2008-07-02,-4.0551
2008-07-07,-7.9506
2008-07-08,-3.7663
2008-07-09,5.4008
2008-07-10,6.927
2008-07-11,-3.0109
2008-07-15,-9.1347
2008-07-16,-2.8257
2008-07-22,2.3384
2008-07-25,-16.3976
2008-07-29,-5.9219
2008-07-30,-5.9559999999999995
2008-07-31,4.6339
2008-08-01,1.7643
2008-08-07,-6.7595
2008-08-11,0.4998
2008-08-12,3.0533
2008-08-20,-6.6833
2008-08-25,15.6278
2008-08-26,5.3355
2008-08-27,1.6320999999999999
2008-08-28,-3.2455
2008-08-29,1.3975
2008-09-02,-0.7326
2008-09-03,-4.7232
2008-09-04,-10.0503
2008-09-05,-3.6518
2008-09-08,-4.3488
2008-09-10,-24.616
2008-09-12,-0.1123
2008-09-16,-7.4185
2008-09-17,12.4571
2008-09-18,-5.263
2008-09-19,20.5779
2008-09-22,0.688
2008-09-24,8.4035
2008-09-29,-14.7065
2008-09-30,-7.7718
2008-10-02,-11.2976
2008-10-03,-13.8625
2008-10-06,-21.6302
2008-10-09,6.9001
2008-10-10,-14.0128
2008-10-15,14.8061
2008-10-20,-19.9519
2008-10-22,-27.3273
2008-10-24,-8.8636
2008-10-29,4.2621
2008-11-12,-9.0237
2008-11-25,4.087
2008-11-26,-15.775
2008-12-02,-17.3664
2008-12-04,-10.0297
2008-12-05,16.52
2008-12-08,-2.3131
2008-12-15,13.7403
2008-12-19,8.0159
2008-12-22,4.3267
2008-12-23,-2.8403
2008-12-29,14.8364
2008-12-30,15.9495
2009-01-02,22.6831
2009-01-05,16.6838
