ticker,HCI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-09-16,-0.1639
2008-09-17,-10.509
2008-09-18,13.7615
2008-09-19,0.8065
2008-09-22,-2.24
2008-09-23,7.2013
2008-09-24,-5.9542
2008-09-25,9.6591
2008-09-26,-8.9563
2008-09-29,-11.3821
2008-09-30,10.0917
2008-10-01,-1.4
2008-10-02,9.8715
2008-10-03,-1.5385
2008-10-06,-17.5
2008-10-07,-5.303
2008-10-08,8.0
2008-10-09,-7.037
2008-10-10,-10.3586
2008-10-13,2.6667
2008-10-14,8.4416
2008-10-15,-0.998
2008-10-16,-3.2258
2008-10-17,12.5
2008-10-20,-0.9259
2008-10-21,7.4766
2008-10-22,2.6087
2008-10-23,-3.7288
2008-10-24,-3.3473
2008-10-27,3.6452999999999998
2008-10-28,-8.6116
2008-10-29,0.9615
2008-10-30,2.8571
2008-10-31,6.1111
2008-11-03,0.0
2008-11-04,0.0
2008-11-05,-5.5846
2008-11-06,3.445
2008-11-07,5.068
2008-11-10,-2.3810000000000002
2008-11-11,-1.7422
2008-11-12,-4.2553
2008-11-13,2.5926
2008-11-14,-4.3321
2008-11-17,0.0
2008-11-18,-0.3774
2008-11-19,-17.4242
2008-11-20,0.9174
2008-11-21,2.2727
2008-11-24,10.8889
2008-11-25,-1.6032
2008-11-28,-2.6477
2008-12-01,5.4393
2008-12-02,-4.9603
2008-12-03,1.2526
2008-12-04,3.0928
2008-12-05,0.0
2008-12-08,0.0
2008-12-09,0.0
2008-12-10,-2.0
2008-12-11,2.0408
2008-12-12,-0.2
2008-12-15,-0.2806
2008-12-16,1.0852
2008-12-17,-2.5845000000000002
2008-12-18,1.2245
2008-12-19,0.8065
2008-12-22,-4.2
2008-12-23,-0.6263
2008-12-26,5.042
2008-12-29,1.0
2008-12-30,0.9901
2008-12-31,5.098
2009-01-02,-3.9179
2009-01-05,-0.9709
2009-01-06,3.1373
2009-01-07,-6.2738
2009-01-08,4.0568
2009-01-09,-0.7797
2009-01-12,-0.7859
2009-01-13,0.9901
2009-01-14,0.7843
2009-01-15,-4.6693
2009-01-16,-6.1224
2009-01-20,1.087
2009-01-21,6.2366
2009-01-22,-8.9069
2009-01-23,4.4444
2009-01-26,0.6383
2009-01-27,3.5941
2009-01-28,-1.0204
2009-01-29,1.6495
2009-01-30,1.4199
2009-02-02,0.0
2009-02-03,0.0
2009-02-04,0.0
2009-02-05,-2.0
2009-02-06,0.0
2009-02-09,4.0816
2009-02-10,-0.1961
