ticker,MTXS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-07-15,0.0
2009-12-03,100.0
2010-06-07,400.0
2010-06-08,0.0
2010-06-09,0.0
2010-06-10,0.0
2010-06-15,-60.0
2010-06-16,150.0
2010-07-16,-0.125
2010-08-04,-79.975
2010-08-11,0.0
2010-10-06,-25.0
2010-10-25,0.0
2010-10-28,100.0
2010-11-02,50.0
2010-11-03,33.3333
2010-11-05,0.0
2010-11-08,8.3333
2010-11-17,53.8462
2010-11-18,-30.0
2010-12-01,0.0
2010-12-03,0.0
2010-12-08,0.0
2010-12-14,4.2857
2010-12-16,0.0
2010-12-20,9.589
2010-12-27,12.5
2010-12-28,44.4444
2010-12-31,-28.4615
2011-01-07,29.0323
2011-01-13,16.6667
2011-01-18,-14.2857
2011-01-27,-25.0
2011-01-28,-11.1111
2011-02-23,-22.5
2011-02-24,0.0
2011-02-25,77.4194
2011-02-28,-9.0909
2011-03-14,-40.0
2011-04-07,0.0
2011-04-13,-16.6667
2011-04-14,20.0
2011-04-18,0.0
2011-04-20,-40.0
2011-07-22,122.2222
2011-08-26,-50.0
2011-08-31,-2.5
2011-09-01,-61.5385
2011-10-04,166.6667
2011-10-11,0.0
2011-10-18,150.0
2011-10-19,0.0
2011-10-20,0.0
2011-10-31,-68.0
2011-11-04,31.25
2011-12-06,-19.0476
2011-12-07,-1.4706000000000001
2011-12-23,34.3284
2012-02-03,0.0
2012-02-06,44.4444
2012-02-07,-7.6923
2012-02-16,-33.3333
2012-02-21,150.0
2012-03-14,-50.0
2012-03-16,-2.0
2012-03-19,0.0
2012-04-11,-59.1837
2012-04-20,150.0
2012-05-02,10.0
2012-05-03,0.0
2012-05-04,-4.5455
2012-05-07,4.7619
2012-05-09,-22.7273
2012-05-17,64.7059
2012-05-18,-28.5714
2012-05-21,-20.0
2012-05-22,0.0
2012-05-23,50.0
2012-05-24,-8.3333
2012-05-29,-27.2727
2012-05-31,12.5
2012-06-01,22.2222
2012-06-04,-9.0909
2012-06-05,-20.0
2012-06-06,-75.0
2012-06-12,400.0
2012-06-14,20.0
2012-06-18,-16.6667
2012-06-19,0.0
2012-06-20,0.0
2012-06-21,0.0
2012-06-25,20.0
2012-06-28,0.0
2012-06-29,0.0
2012-07-10,-16.6667
2012-07-11,0.0
2012-07-12,80.0
2013-02-26,-96.1111
2013-07-18,85.7143
2013-11-19,15.3846
2013-12-18,0.0
2014-07-10,0.0
2014-09-24,2.5
2014-10-02,0.0
2015-03-02,0.0
2015-03-05,0.0
2015-05-18,0.0
2015-07-22,30.0813
2015-08-12,400.0
2015-08-28,-60.0
2015-11-02,-25.0
2015-11-11,233.3333
2015-12-07,0.0
2015-12-11,-80.0
2015-12-14,0.0
2016-03-31,50.0
2016-04-25,-33.3333
2016-08-23,68.75
2016-12-08,0.0
2016-12-09,-34.8148
2016-12-27,0.0
2017-01-05,9.0909
2017-01-20,316.6667
2017-02-07,-76.0
2018-08-27,150.0
2018-09-13,-93.3333
2018-09-25,600.0
2018-11-16,42.8571
2018-11-19,0.0
2018-11-20,100.0
2018-11-21,0.0
2018-11-26,-50.0
2018-11-27,0.0
2018-11-28,25.0
2018-11-30,-20.0
2019-03-11,2.5
2019-03-12,-2.439
2019-03-15,0.0
2019-06-26,-10.0
2019-09-27,-32.6389
2019-10-18,-25.7732
2019-11-12,302.7778
2019-11-20,-51.7241
2020-01-02,71.4286
2020-01-03,33.3333
2020-01-07,-25.0
2020-01-08,-46.0
2020-01-09,-0.7407
2020-02-04,-6.0945
2020-03-05,17.5497
2020-03-06,181.6901
2020-03-09,-20.0
2020-03-10,-37.5
2020-03-11,-7.9
2020-03-12,-8.7948
2020-03-16,-4.7619
2020-03-17,-24.5
2020-03-20,-0.6623
2020-03-26,-20.0
2020-03-30,0.0
2020-04-14,0.0
2020-05-15,-16.6667
2020-06-02,50.0
2020-06-08,33.3333
2020-06-23,25.0
2020-06-24,-16.0
2020-07-14,-28.5714
