ticker,MYGN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-0.5435
2000-01-04,2.1858
2000-01-05,2.1390000000000002
2000-01-06,4.712
2000-01-07,20.0
2000-01-10,5.0
2000-01-11,0.9921
2000-01-12,-0.3929
2000-01-13,-0.3945
2000-01-14,-6.2376
2000-01-18,14.4667
2000-01-19,-3.0443
2000-01-20,5.0428
2000-01-21,1.4493
2000-01-24,2.8571
2000-01-25,-1.9097
2000-01-26,1.4159
2000-01-27,1.2216
2000-01-28,-0.7759
2000-01-31,-10.338799999999999
2000-02-01,6.3953
2000-02-02,5.2823
2000-02-03,10.0346
2000-02-04,15.7233
2000-02-07,18.4783
2000-02-08,1.8349
2000-02-09,5.2928
2000-02-10,9.8396
2000-02-11,1.3632
2000-02-14,-10.6628
2000-02-15,1.5053999999999998
2000-02-16,10.0636
2000-02-17,19.3455
2000-02-18,-7.1774000000000004
2000-02-22,-11.4683
2000-02-23,2.895
2000-02-24,9.8593
2000-02-25,5.567
2000-02-28,-3.2072
2000-02-29,5.0127
2000-03-01,-2.1845
2000-03-02,-5.8726
2000-03-03,5.536
2000-03-06,8.826
2000-03-07,0.0
2000-03-08,6.1974
2000-03-09,32.4928
2000-03-10,-12.9962
2000-03-13,-18.0
2000-03-14,-1.1814
2000-03-15,-10.7983
2000-03-16,1.5131999999999999
2000-03-17,5.6218
2000-03-20,-22.5806
2000-03-21,-35.2604
2000-03-22,11.5849
2000-03-23,-10.0937
2000-03-24,-3.4483
2000-03-27,-6.1462
2000-03-28,-9.2035
2000-03-29,-11.306
2000-03-30,-13.1868
2000-03-31,22.0253
2000-04-03,-21.9917
2000-04-04,-2.3604
2000-04-05,17.5349
2000-04-06,37.1958
2000-04-07,-8.7838
2000-04-10,-18.5185
2000-04-11,-0.4545
2000-04-12,-5.7078
2000-04-13,2.6634
2000-04-14,-16.2736
2000-04-17,-6.4789
2000-04-18,23.1928
2000-04-19,-1.956
2000-04-20,-0.1247
2000-04-24,-5.1186
2000-04-25,7.6316
2000-04-26,1.7115
2000-04-27,4.0865
2000-04-28,18.9376
2000-05-01,27.3786
2000-05-02,-1.5816
2000-05-03,-3.5044
2000-05-04,6.7416
2000-05-05,5.7143
2000-05-08,-6.4723
2000-05-09,-8.1369
2000-05-10,-14.0728
2000-05-11,7.8998
2000-05-12,10.892900000000001
2000-05-15,8.3736
2000-05-16,8.1724
2000-05-17,-2.8159
2000-05-18,-2.1201
2000-05-19,-11.2635
2000-05-22,-4.1497
