ticker,SBAC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-4.0
2000-01-04,-1.3889
2000-01-05,-4.2254
2000-01-06,-0.3676
2000-01-07,8.4871
2000-01-10,19.727899999999998
2000-01-11,17.6136
2000-01-12,-12.0773
2000-01-13,11.8132
2000-01-14,-1.4742
2000-01-18,11.4713
2000-01-19,-3.8031
2000-01-20,0.0
2000-01-21,0.0
2000-01-24,5.5814
2000-01-25,7.489
2000-01-26,3.2787
2000-01-27,-8.1349
2000-01-28,4.5356
2000-01-31,0.2066
2000-02-01,9.2784
2000-02-02,2.6414999999999997
2000-02-03,2.9412000000000003
2000-02-04,-1.4285999999999999
2000-02-07,2.5362
2000-02-08,-2.1201
2000-02-09,-2.5271
2000-02-10,2.963
2000-02-11,0.3597
2000-02-14,0.0
2000-02-15,0.5376
2000-02-16,-2.6738
2000-02-17,-7.326
2000-02-18,-12.253
2000-02-22,8.5586
2000-02-23,2.4896
2000-02-24,7.6923
2000-02-25,8.2707
2000-02-28,0.0
2000-02-29,12.5
2000-03-01,7.0988
2000-03-02,-1.1527
2000-03-03,2.9154999999999998
2000-03-06,-1.983
2000-03-07,3.4682
2000-03-08,7.5419
2000-03-09,-1.5584
2000-03-10,4.7493
2000-03-13,8.3123
2000-03-14,-2.3256
2000-03-15,-6.7857
2000-03-16,-7.2797
2000-03-17,10.3306
2000-03-20,-1.623
2000-03-21,-4.1878
2000-03-22,1.8542999999999998
2000-03-23,1.1703999999999999
2000-03-24,-4.8843
2000-03-27,6.0811
2000-03-28,-0.2548
2000-03-29,-7.0243
2000-03-30,-12.0879
2000-03-31,10.0
2000-04-03,-5.6818
2000-04-04,-6.9277
2000-04-05,2.9126
2000-04-06,7.3899
2000-04-07,5.7101
2000-04-10,-4.4321
2000-04-11,-10.4348
2000-04-12,3.2362
2000-04-13,-3.4483
2000-04-14,-6.8182
2000-04-17,-4.5296
2000-04-18,17.1533
2000-04-19,-8.2555
2000-04-20,1.1885
2000-04-24,7.2148
2000-04-25,-6.7293
2000-04-26,5.0336
2000-04-27,9.2652
2000-04-28,-4.9708
2000-05-01,1.2308
2000-05-02,0.6079
2000-05-03,1.5106000000000002
2000-05-04,2.9762
2000-05-05,3.4682
2000-05-08,7.2626
2000-05-09,-3.3854
2000-05-10,-9.5687
2000-05-11,4.0238
2000-05-12,-5.0143
2000-05-15,-1.6591
2000-05-16,3.2209
2000-05-17,1.9316
2000-05-18,-2.6239
2000-05-19,-4.1916
2000-05-22,-1.875
