ticker,FNBCQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-05-10,2.0833
2013-05-13,0.2041
2013-05-14,-0.0407
2013-05-15,-1.0187
2013-05-16,-0.6999
2013-05-17,3.607
2013-05-20,-1.1605
2013-05-21,-1.0526
2013-05-22,-0.6137
2013-05-23,-0.6587
2013-05-24,0.1243
2013-05-28,0.5381
2013-05-29,0.5352
2013-05-30,1.5152
2013-05-31,1.3312
2013-06-03,3.1449
2013-06-04,0.0772
2013-06-05,-1.3884
2013-06-06,-1.3688
2013-06-07,1.4671
2013-06-10,-0.1563
2013-06-11,-2.3875
2013-06-12,1.2831000000000001
2013-06-13,-0.9501
2013-06-14,0.1599
2013-06-17,0.6385
2013-06-18,0.119
2013-06-19,0.2376
2013-06-20,0.7902
2013-06-21,0.392
2013-06-24,-1.7962
2013-06-25,0.159
2013-06-26,1.6673
2013-06-27,-1.4057
2013-06-28,-3.3663
2013-07-01,3.0738
2013-07-02,-0.0398
2013-07-03,-0.7558
2013-07-05,0.2004
2013-07-08,0.12
2013-07-09,0.04
2013-07-10,1.6773
2013-07-11,2.0817
2013-07-12,0.9619
2013-07-15,-0.1143
2013-07-16,1.7168999999999999
2013-07-17,-0.4126
2013-07-18,1.5066000000000002
2013-07-19,0.2597
2013-07-22,0.4441
2013-07-23,-0.4053
2013-07-24,-1.6648
2013-07-25,-0.301
2013-07-26,0.2264
2013-07-29,-1.9202
2013-07-30,0.5758
2013-07-31,-0.1527
2013-08-01,0.3058
2013-08-02,-2.4009
2013-08-05,-0.039
2013-08-06,1.7969
2013-08-07,-0.5372
2013-08-08,-1.6204
2013-08-09,-2.0392
2013-08-12,3.0024
2013-08-13,-0.4664
2013-08-14,-1.3276
2013-08-15,-1.1872
2013-08-16,0.0
2013-08-19,-2.0024
2013-08-20,1.0625
2013-08-21,-0.93
2013-08-22,0.2449
2013-08-23,0.0
2013-08-26,-1.0993
2013-08-27,-2.182
2013-08-28,-0.2104
2013-08-29,-0.6748
2013-08-30,-0.1699
2013-09-03,-1.0634
2013-09-04,1.3328
2013-09-05,-0.8061
2013-09-06,1.0265
2013-09-09,0.254
2013-09-10,-0.2956
2013-09-11,0.3388
2013-09-12,0.2533
2013-09-13,0.1263
2013-09-16,0.5046
2013-09-17,-0.1255
2013-09-18,1.6339000000000001
2013-09-19,-1.0717
2013-09-20,-1.0417
2013-09-23,0.8421
2013-09-24,-0.1253
2013-09-25,1.1288
2013-09-26,1.1575
2013-09-27,0.0
2013-09-30,-0.3678
