ticker,ADP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.4803
2000-01-04,0.0
2000-01-05,-0.9615
2000-01-06,1.335
2000-01-07,2.2754
2000-01-10,2.459
2000-01-11,-1.9428999999999998
2000-01-12,-0.9324
2000-01-13,-0.5882
2000-01-14,-1.0651
2000-01-18,-5.7416
2000-01-19,9.7716
2000-01-20,-6.0116
2000-01-21,-0.492
2000-01-24,-1.1125
2000-01-25,2.125
2000-01-26,-0.1224
2000-01-27,-1.5931
2000-01-28,-2.4907
2000-01-31,-3.0651
2000-02-01,1.581
2000-02-02,-5.4475
2000-02-03,6.7215
2000-02-04,-1.2852999999999999
2000-02-07,-3.125
2000-02-08,0.1344
2000-02-09,-3.3557
2000-02-10,5.2778
2000-02-11,-3.2982
2000-02-14,1.0914
2000-02-15,-0.5398
2000-02-16,-0.6784
2000-02-17,-0.6831
2000-02-18,-2.0633
2000-02-22,-5.8989
2000-02-23,3.7313
2000-02-24,2.7338
2000-02-25,-3.7815
2000-02-28,3.6390000000000002
2000-02-29,-2.1067
2000-03-01,1.5782
2000-03-02,-2.2599
2000-03-03,-0.1445
2000-03-06,1.7366000000000001
2000-03-07,-0.9957
2000-03-08,-0.3736
2000-03-09,1.7341
2000-03-10,0.2841
2000-03-13,2.1246
2000-03-14,4.8544
2000-03-15,3.9683
2000-03-16,11.4504
2000-03-17,-1.3699
2000-03-20,-3.2407
2000-03-21,0.4785
2000-03-22,-2.1429
2000-03-23,0.1217
2000-03-24,1.0936
2000-03-27,-0.1202
2000-03-28,-6.7389
2000-03-29,-1.6774
2000-03-30,-0.3937
2000-03-31,1.7128
2000-04-03,3.6269
2000-04-04,2.0
2000-04-05,-1.5931
2000-04-06,4.4832
2000-04-07,-0.5959
2000-04-10,-0.5995
2000-04-11,-1.5682
2000-04-12,-2.451
2000-04-13,-3.8945
2000-04-14,-3.7908
2000-04-17,1.3587
2000-04-18,5.0938
2000-04-19,0.2551
2000-04-20,3.0534
2000-04-24,6.5432
2000-04-25,0.0
2000-04-26,-1.2746
2000-04-27,1.8779
2000-04-28,-0.8065
2000-05-01,0.2323
2000-05-02,-1.3905
2000-05-03,-1.9976
2000-05-04,0.1199
2000-05-05,-0.7186
2000-05-08,0.3619
2000-05-09,-2.8846
2000-05-10,1.1139000000000001
2000-05-11,3.1824
2000-05-12,-1.7793999999999999
2000-05-15,0.2415
2000-05-16,2.8916
2000-05-17,-1.6393
2000-05-18,-2.0238
2000-05-19,-0.6075
