ticker,CDR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-05,-2.1739
2000-01-10,-2.2222
2000-01-12,18.1818
2000-01-14,-15.3846
2000-01-24,0.5682
2000-02-04,0.0
2000-02-07,0.565
2000-02-24,9.6629
2000-02-25,-2.0833
2000-02-28,0.0
2000-03-03,0.0
2000-03-06,6.383
2000-03-08,-1.0
2000-03-29,-3.0303
2000-03-30,3.125
2000-04-10,-3.0303
2000-04-13,-25.0
2000-04-14,-11.1111
2000-04-17,10.9375
2000-04-24,12.6761
2000-05-01,-7.5
2000-05-04,-18.9189
2000-05-10,0.0
2000-05-17,13.3333
2000-06-09,20.4819
2000-06-12,-2.5
2000-06-14,5.1282
2000-06-20,-4.878
2000-06-22,-2.5641
2000-07-03,-15.7895
2000-07-07,3.125
2000-07-10,9.0909
2000-07-11,-22.2222
2000-07-13,32.1429
2000-07-14,-14.8649
2000-07-17,17.4603
2000-07-24,-10.8108
2000-07-27,0.0
2000-07-28,12.1212
2000-08-01,5.4054
2000-08-02,-12.8205
2000-08-10,-4.4118
2000-08-15,0.0
2000-08-21,-0.6309
2000-08-31,7.9365
2000-09-05,0.0
2000-09-12,-7.3529
2000-09-13,39.6825
2000-09-18,2.2727
2000-09-20,0.0
2000-09-26,-28.8889
2000-09-27,-3.125
2000-09-28,29.0323
2000-10-02,-10.0
2000-10-03,0.0
2000-10-09,-11.1111
2000-10-17,0.0
2000-10-18,-3.125
2000-10-24,0.0
2000-10-26,0.0
2000-11-07,-3.2258
2000-11-20,-13.3333
2000-11-21,13.461500000000001
2000-12-01,0.0
2000-12-05,-11.8644
2000-12-21,-17.3077
2000-12-28,2.3256
2000-12-29,-2.2727
2001-01-12,6.9767
2001-01-22,-4.3478
2001-01-31,0.0
2001-02-06,9.0909
2001-02-09,0.0
2001-02-14,12.5
2001-02-21,0.0
2001-02-23,9.2593
2001-02-28,-18.6441
2001-03-14,-8.3333
2001-03-15,-27.2727
2001-03-16,18.75
2001-03-20,13.1579
2001-03-21,30.2326
2001-03-22,-17.8571
2001-03-23,21.7391
2001-03-27,-5.3571
2001-03-28,0.0
2001-03-29,0.0
2001-03-30,0.0
2001-04-02,-52.8302
2001-04-03,60.0
2001-04-04,0.0
2001-04-05,-15.0
2001-04-06,8.8235
2001-04-17,-5.7297
2001-04-20,-3.6696999999999997
2001-05-01,66.6667
2001-05-02,-30.0
2001-05-03,18.3673
2001-05-04,-13.7931
2001-05-09,-19.6
2001-05-11,31.8408
2001-05-14,0.0
