ticker,NRBO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-08-05,-8.0
2016-08-08,-3.4783
2016-08-09,0.9009
2016-08-10,4.2411
2016-08-11,-5.0321
2016-08-12,7.3506
2016-08-15,6.2802
2016-08-16,-1.2846
2016-08-17,0.1001
2016-08-18,0.5
2016-08-19,-0.199
2016-08-22,-0.2991
2016-08-23,1.3
2016-08-24,0.691
2016-08-25,-0.8824
2016-08-26,0.2967
2016-08-29,0.0986
2016-08-30,11.33
2016-08-31,17.1681
2016-09-01,1.5861
2016-09-02,-1.6357
2016-09-06,0.3779
2016-09-07,-3.3886
2016-09-08,-3.7412
2016-09-09,0.4049
2016-09-12,-0.8065
2016-09-13,-7.3171
2016-09-14,-1.6667
2016-09-15,-9.099
2016-09-16,-5.4956
2016-09-19,3.8422
2016-09-20,-0.1
2016-09-21,4.6046
2016-09-22,11.1005
2016-09-23,-6.0293
2016-09-26,3.483
2016-09-27,0.9743
2016-09-28,8.4211
2016-09-29,-8.5761
2016-09-30,-3.3628
2016-10-03,0.7326
2016-10-04,-5.2727
2016-10-05,3.648
2016-10-06,2.684
2016-10-07,-3.0658
2016-10-10,5.5814
2016-10-11,1.4097
2016-10-12,-1.9114
2016-10-13,-1.7715
2016-10-14,-8.8368
2016-10-17,-0.8902
2016-10-18,-0.0998
2016-10-19,2.0979
2016-10-20,2.2505
2016-10-21,-1.244
2016-10-24,-1.1628
2016-10-25,0.7843
2016-10-26,-1.5564
2016-10-27,-2.2727
2016-10-28,-1.3145
2016-10-31,-3.791
2016-11-01,1.1715
2016-11-02,0.6316
2016-11-03,-5.6485
2016-11-04,0.8869
2016-11-07,9.7802
2016-11-08,-6.006
2016-11-09,-1.9169
2016-11-10,2.2801
2016-11-11,-3.1847
2016-11-14,0.6579
2016-11-15,2.3965
2016-11-16,1.3211
2016-11-17,0.691
2016-11-18,-1.2513
2016-11-21,-0.8448
2016-11-22,2.2364
2016-11-23,0.0
2016-11-25,1.0417
2016-11-28,-2.8866
2016-11-29,-0.7431
2016-11-30,1.9251
2016-12-01,-0.8395
2016-12-02,-2.6455
2016-12-05,1.9565000000000001
2016-12-06,-6.7164
2016-12-07,4.4571
2016-12-08,-2.0788
2016-12-09,-1.5642
2016-12-12,-3.2917
2016-12-13,-4.9296
2016-12-14,0.9877
2016-12-15,-6.9681999999999995
2016-12-16,-1.3141
2016-12-19,2.5300000000000002
2016-12-20,3.8961
2016-12-21,-0.125
2016-12-22,-0.6258
2016-12-23,3.1486
