ticker,IR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-05-12,5.5
2017-05-15,4.3602
2017-05-16,0.3633
2017-05-17,0.0
2017-05-18,1.81
2017-05-19,0.9778
2017-05-22,0.7482
2017-05-23,2.4465
2017-05-24,-0.4264
2017-05-25,-3.5974
2017-05-26,2.3101
2017-05-30,-0.3474
2017-05-31,-0.0871
2017-06-01,0.0
2017-06-02,-1.2211
2017-06-05,-0.0883
2017-06-06,-1.5024
2017-06-07,-2.3777
2017-06-08,-0.5055
2017-06-09,3.8799
2017-06-12,2.4011
2017-06-13,1.9973999999999998
2017-06-14,-1.0217
2017-06-15,-1.1183
2017-06-16,4.0452
2017-06-19,0.0
2017-06-20,-5.4348
2017-06-21,-8.3996
2017-06-22,1.6409
2017-06-23,-2.8015
2017-06-26,0.1466
2017-06-27,3.8537
2017-06-28,-0.0939
2017-06-29,0.7522
2017-06-30,0.8399
2017-07-03,3.3781
2017-07-05,-2.3277
2017-07-06,-3.8955
2017-07-07,-1.4306
2017-07-10,3.2414
2017-07-11,1.8276
2017-07-12,1.8408
2017-07-13,-0.3163
2017-07-14,0.0907
2017-07-17,4.0308
2017-07-18,0.3047
2017-07-19,1.6493
2017-07-20,0.5551
2017-07-21,-2.293
2017-07-24,0.565
2017-07-25,1.3397000000000001
2017-07-26,-2.6866
2017-07-27,1.7967
2017-07-28,-0.6027
2017-07-31,-0.563
2017-08-01,-2.0035
2017-08-02,2.3111
2017-08-03,1.0426
2017-08-04,3.4824
2017-08-07,-0.1246
2017-08-08,0.3744
2017-08-09,-2.1964
2017-08-10,-3.9831
2017-08-11,0.0883
2017-08-14,-0.3968
2017-08-15,0.4427
2017-08-16,0.2644
2017-08-17,-3.2967
2017-08-18,-0.1364
2017-08-21,1.9117
2017-08-22,1.7418
2017-08-23,0.7902
2017-08-24,-1.1324
2017-08-25,1.2335
2017-08-28,-0.1305
2017-08-29,0.4793
2017-08-30,1.0408
2017-08-31,0.8155
2017-09-01,0.894
2017-09-05,-2.4473
2017-09-06,0.9948
2017-09-07,1.1135
2017-09-08,0.6353
2017-09-11,0.5471
2017-09-12,2.6789
2017-09-13,0.5707
2017-09-14,1.2161
2017-09-15,0.4806
2017-09-18,2.7500999999999998
2017-09-19,0.1552
2017-09-20,0.6197
2017-09-21,-0.5004
2017-09-22,1.6634
2017-09-25,0.4566
2017-09-26,-0.3409
2017-09-27,2.8886
2017-09-28,0.9605
2017-09-29,0.6952
2017-10-02,0.109
2017-10-03,0.2904
