ticker,SDLPF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-10-19,10.7727
2012-10-22,-0.3693
2012-10-23,-2.1829
2012-10-24,2.9474
2012-10-25,-2.1268
2012-10-26,-0.0836
2012-10-31,0.5855
2012-11-01,-1.58
2012-11-02,0.0
2012-11-05,1.6054
2012-11-06,0.0
2012-11-07,0.0
2012-11-08,0.2495
2012-11-09,-0.4977
2012-11-12,-3.7099
2012-11-13,2.5974
2012-11-14,-1.5190000000000001
2012-11-15,-1.4996
2012-11-16,4.0452
2012-11-19,0.5853
2012-11-20,2.7016
2012-11-21,3.6423
2012-11-23,3.7876
2012-11-26,-0.1505
2012-11-27,-0.6405
2012-11-28,-0.7205
2012-11-29,0.0764
2012-11-30,0.2672
2012-12-03,0.8755
2012-12-04,-1.8868
2012-12-05,-0.3846
2012-12-06,-0.8108
2012-12-07,0.8953
2012-12-10,0.6173
2012-12-11,-0.1534
2012-12-12,-0.1536
2012-12-13,-0.7692
2012-12-14,0.0775
2012-12-17,-0.0775
2012-12-18,0.2326
2012-12-19,-0.58
2012-12-20,0.7001
2012-12-21,-0.7339
2012-12-24,-1.4008
2012-12-26,0.5525
2012-12-27,-0.7064
2012-12-28,-0.1976
2012-12-31,1.5842
2013-01-02,3.5088
2013-01-03,1.5066000000000002
2013-01-04,0.1113
2013-01-07,0.556
2013-01-08,-1.8798
2013-01-09,0.5635
2013-01-10,2.9137
2013-01-11,-0.9074
2013-01-14,0.293
2013-01-15,1.1687
2013-01-16,-0.5776
2013-01-17,0.4357
2013-01-18,-1.1931
2013-01-22,2.4515000000000002
2013-01-23,0.8214
2013-01-24,-0.248
2013-01-25,1.1009
2013-01-28,0.1054
2013-01-29,0.7018
2013-01-30,-0.2787
2013-01-31,2.1684
2013-02-01,-0.8636
2013-02-04,-2.5784000000000002
2013-02-05,1.5021
2013-02-06,0.5638
2013-02-07,-1.9971999999999999
2013-02-08,1.8949
2013-02-11,-0.2351
2013-02-12,-0.1161
2013-02-13,0.3873
2013-02-14,0.2455
2013-02-15,-2.4493
2013-02-19,-3.6944
2013-02-20,1.7877
2013-02-21,1.5368
2013-02-22,-1.8378
2013-02-25,0.1101
2013-02-26,0.7701
2013-02-27,3.3115
2013-02-28,-1.4089
2013-03-01,-2.6438
2013-03-04,4.3303
2013-03-05,1.1256
2013-03-06,1.113
2013-03-07,-1.1352
2013-03-08,2.888
2013-03-11,-1.3189
2013-03-12,-0.0343
2013-03-13,-0.2743
2013-03-14,0.0344
