ticker,NPTN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-02-02,20.4545
2011-02-03,5.6604
2011-02-04,23.6429
2011-02-07,-0.6355
2011-02-08,-2.5581
2011-02-09,6.9809
2011-02-10,2.0078
2011-02-11,12.3565
2011-02-14,-8.7591
2011-02-15,-2.4
2011-02-16,2.0765
2011-02-17,8.8865
2011-02-18,-3.3432
2011-02-22,-8.4435
2011-02-23,-6.2778
2011-02-24,0.1186
2011-02-25,7.2232
2011-02-28,1.3252
2011-03-01,-0.8174
2011-03-02,-1.6484
2011-03-03,0.6704
2011-03-04,-13.5405
2011-03-07,-11.6175
2011-03-08,-2.5418
2011-03-09,-21.7586
2011-03-10,-0.8571
2011-03-11,1.4409
2011-03-14,-6.4394
2011-03-15,-4.4534
2011-03-16,6.4619
2011-03-17,-3.3830999999999998
2011-03-18,-2.2657
2011-03-21,-3.2666
2011-03-22,-8.9325
2011-03-23,2.8708
2011-03-24,6.0465
2011-03-25,1.2061
2011-03-28,0.7584
2011-03-29,0.2151
2011-03-30,9.9785
2011-03-31,10.3415
2011-04-01,2.5641
2011-04-04,-0.6897
2011-04-05,-1.3889
2011-04-06,5.0176
2011-04-07,0.0838
2011-04-08,-3.5176
2011-04-11,-3.7326
2011-04-12,-9.3778
2011-04-13,-1.0945
2011-04-14,0.7042
2011-04-15,0.4995
2011-04-18,-1.7893
2011-04-19,-1.2146
2011-04-20,5.7377
2011-04-21,-2.2287
2011-04-25,1.6848
2011-04-26,0.7797
2011-04-27,2.8045999999999998
2011-04-28,-0.3763
2011-04-29,2.3607
2011-05-02,1.845
2011-05-03,-4.4384
2011-05-04,-1.7062
2011-05-05,2.7001
2011-05-06,-5.446
2011-05-09,-4.568
2011-05-10,0.9365
2011-05-11,-5.567
2011-05-12,1.31
2011-05-13,-2.2629
2011-05-16,-0.9923
2011-05-17,0.1114
2011-05-18,0.7786
2011-05-19,0.1104
2011-05-20,4.6307
2011-05-23,-4.8472
2011-05-24,0.3322
2011-05-25,0.2208
2011-05-26,0.2203
2011-05-27,0.1099
2011-05-31,4.6103
2011-06-01,-0.3148
2011-06-02,-3.5789
2011-06-03,0.1092
2011-06-06,-0.8724
2011-06-07,-0.7701
2011-06-08,-1.4412
2011-06-09,-4.3870000000000005
2011-06-10,-1.6471
2011-06-13,-0.3589
2011-06-14,-6.9628
2011-06-15,-9.1613
2011-06-16,-1.5625
2011-06-17,-2.5974
2011-06-20,-4.0
2011-06-21,-0.463
2011-06-22,0.4651
