ticker,CDAY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-04-26,41.8636
2018-04-27,-2.2108
2018-04-30,3.4731
2018-05-01,-0.3167
2018-05-02,4.0343
2018-05-03,3.1756
2018-05-04,0.8878
2018-05-07,-0.2933
2018-05-08,-3.0597
2018-05-09,1.5781
2018-05-10,-1.0158
2018-05-11,3.773
2018-05-14,6.1082
2018-05-15,1.2884
2018-05-16,0.6766
2018-05-17,3.0376
2018-05-18,-3.9395
2018-05-21,-4.5084
2018-05-22,-2.3891
2018-05-23,-1.0198
2018-05-24,-0.7654
2018-05-25,-0.3263
2018-05-29,1.9048
2018-05-30,1.2558
2018-05-31,-0.4327
2018-06-01,0.029
2018-06-04,4.1413
2018-06-05,1.0845
2018-06-06,4.9794
2018-06-07,-2.7516
2018-06-08,0.7815
2018-06-11,-2.4332
2018-06-12,3.0967
2018-06-13,0.1063
2018-06-14,1.4073
2018-06-15,0.6808
2018-06-18,3.459
2018-06-19,-6.4857
2018-06-20,-0.5108
2018-06-21,-1.2429000000000001
2018-06-22,-2.1888
2018-06-25,-2.6014
2018-06-26,0.6031
2018-06-27,-1.9983
2018-06-28,-0.8447
2018-06-29,-2.4971
2018-07-02,-1.1148
2018-07-03,1.7063000000000001
2018-07-05,1.6477
2018-07-06,-0.2358
2018-07-09,-2.7474
2018-07-10,0.6075
2018-07-11,-1.6303999999999998
2018-07-12,5.8318
2018-07-13,0.522
2018-07-16,1.3272
2018-07-17,-0.6549
2018-07-18,0.0287
2018-07-19,-0.1719
2018-07-20,0.5454
2018-07-23,0.0856
2018-07-24,-0.2852
2018-07-25,-0.6865
2018-07-26,0.576
2018-07-27,-2.5773
2018-07-30,-5.7025
2018-07-31,2.1197
2018-08-01,2.4725
2018-08-02,3.6938
2018-08-03,1.9822
2018-08-06,4.8732
2018-08-07,0.0269
2018-08-08,1.0741
2018-08-09,-10.9724
2018-08-10,5.0134
2018-08-13,-2.2734
2018-08-14,0.4071
2018-08-15,-1.9983
2018-08-16,2.6891
2018-08-17,-1.9567999999999999
2018-08-20,-0.0881
2018-08-21,2.0564
2018-08-22,1.7559
2018-08-23,1.7822
2018-08-24,5.1695
2018-08-27,1.6120999999999999
2018-08-28,0.5202
2018-08-29,-0.9314
2018-08-30,0.7051
2018-08-31,-0.1556
2018-09-04,0.3377
2018-09-05,-4.2195
2018-09-06,1.3784
2018-09-07,0.5599
2018-09-10,-0.5037
2018-09-11,-0.3997
2018-09-12,-2.2472
2018-09-13,1.7515
