ticker,OEDVQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-04-11,531.5789
2005-04-12,-98.75
2005-04-18,63900.0
2005-04-20,-50.0
2005-04-22,150.0
2005-04-25,-99.875
2005-04-28,7900.0
2005-05-02,500.0
2005-05-03,33.3333
2005-05-06,-99.8438
2005-05-24,7900.0
2005-05-31,400.0
2005-06-23,-80.0
2005-06-28,900.0
2005-06-29,-70.0
2005-07-01,146.6667
2005-07-05,-5.4054
2005-07-06,-12.857099999999999
2005-07-15,22.9508
2005-07-21,-21.3333
2005-07-22,-57.6271
2005-08-09,0.0
2005-08-15,40.0
2005-08-22,-42.8571
2005-08-25,0.0
2005-09-01,90.0
2005-09-06,57.8947
2005-09-09,0.0
2005-09-14,16.6667
2005-09-16,-14.2857
2005-09-20,0.0
2005-09-23,-66.6667
2005-10-05,25.0
2005-10-10,140.0
2005-10-11,-58.3333
2005-10-14,140.0
2005-10-21,-58.3333
2005-10-24,160.0
2005-10-26,-53.8462
2005-10-31,100.0
2005-11-01,-33.3333
2005-11-02,12.5
2005-11-03,-8.8889
2005-11-04,-26.8293
2005-11-07,33.3333
2005-11-08,-12.5
2005-11-09,-42.8571
2005-11-10,75.0
2005-11-11,-20.0
2005-11-14,-46.4286
2005-11-15,-6.6667
2005-11-16,21.4286
2005-11-17,-17.647100000000002
2005-11-18,-7.1429
2005-11-21,7.6923
2005-11-22,-27.6786
2005-11-23,48.1481
2005-11-25,13.3333
2005-11-28,0.0
2005-11-29,0.0
2005-11-30,-47.0588
2005-12-01,0.0
2005-12-02,-22.2222
2005-12-05,0.0
2005-12-06,14.2857
2005-12-07,12.5
2005-12-08,11.1111
2005-12-09,-10.0
2005-12-12,-11.1111
2005-12-13,-12.5
2005-12-14,0.0
2005-12-15,0.0
2005-12-16,42.8571
2005-12-19,-10.0
2005-12-21,0.0
2005-12-22,-22.2222
2005-12-27,0.0
2005-12-28,0.0
2005-12-29,28.5714
2005-12-30,-22.2222
2006-01-03,42.8571
2006-01-04,-20.0
2006-01-05,-25.0
2006-01-06,0.0
2006-01-09,-16.6667
2006-01-10,0.0
2006-01-11,20.0
2006-01-12,0.0
2006-01-13,-16.6667
2006-01-17,0.0
2006-01-18,-20.0
2006-01-19,25.0
2006-01-20,-20.0
2006-01-26,-25.0
2006-01-27,-66.6667
2006-01-30,0.0
2006-01-31,500.0
2006-02-01,0.0
2006-02-02,0.0
2006-02-03,33.3333
2006-02-06,-25.0
2006-02-07,0.0
2006-02-08,-50.0
