ticker,IBTN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-09-20,19.9078
2016-09-21,-13.0128
2016-09-27,14.9595
2016-10-07,7.3718
2016-10-11,0.2985
2016-10-12,-1.7856999999999998
2016-10-14,0.0
2016-10-24,0.0
2016-11-02,-7.5758
2016-11-07,1.6393
2016-11-09,1.6129
2016-11-14,1.5873
2016-11-17,0.0
2016-11-30,3.7084
2016-12-01,15.1515
2016-12-02,-1.3158
2016-12-07,-1.3333
2016-12-30,-13.3514
2017-01-12,0.8734
2017-01-24,0.4329
2017-01-26,0.0
2017-02-01,0.1847
2017-02-02,1.1063
2017-02-03,0.0
2017-02-06,0.304
2017-02-15,-0.6061
2017-02-21,2.1341
2017-02-22,0.2388
2017-02-23,-0.536
2017-02-24,0.0
2017-03-01,-0.2395
2017-03-08,-0.3601
2017-03-09,0.9036
2017-03-10,-0.597
2017-03-13,0.0
2017-03-14,0.4805
2017-03-15,-0.1195
2017-03-16,1.7355
2017-03-20,0.0
2017-03-31,2.3529
2017-04-04,0.5172
2017-04-05,0.0572
2017-05-12,1.1429
2017-05-23,-0.2825
2017-05-26,-0.3417
2017-06-07,0.0
2017-06-26,-3.3714
2017-07-07,0.5322
2017-07-11,0.0
2017-07-13,-0.5294
2017-07-27,0.5322
2017-08-01,-0.2941
2017-08-08,0.059
2017-08-10,-0.059
2017-08-16,0.0
2017-08-17,0.0
2017-08-23,0.0
2017-09-08,0.295
2017-09-12,0.8824
2017-09-14,-0.5831
2017-09-20,0.0
2017-09-22,0.0587
2017-10-02,0.0586
2017-10-04,-0.1172
2017-10-05,0.0
2017-10-06,0.5865
2017-10-09,-1.1662
2017-10-10,0.59
2017-10-11,0.0
2017-10-18,0.2933
2017-10-23,-0.8772
2017-10-25,0.885
2017-10-31,-1.0526
2017-11-01,0.4728
2017-11-10,-1.4706000000000001
2017-11-13,1.194
2017-11-14,0.295
2017-11-22,0.0
2017-11-27,0.0591
2017-11-28,0.4728
2017-12-04,0.0
2017-12-05,0.0
2017-12-11,-0.1176
2017-12-12,0.1178
2017-12-13,0.0
2017-12-15,0.4706
2017-12-18,0.4098
2017-12-20,-0.6997
2017-12-21,0.0
2018-01-03,0.7046
2018-01-16,2.0408
2018-01-22,0.0
2018-01-24,0.0
2018-01-25,0.0
2018-01-26,0.0
2018-01-29,-1.4285999999999999
2018-02-01,0.0
2018-02-06,0.0
2018-02-07,0.058
2018-02-08,-0.6373
2018-02-12,0.0
2018-02-15,0.5831
2018-02-16,0.0
