ticker,SYSX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-09-06,0.0
2018-09-07,-49.5
2018-09-10,13.8614
2018-09-11,0.0
2018-09-12,15.2174
2018-09-13,88.6792
2018-09-14,-38.0
2018-09-17,-3.2258
2018-09-18,0.0
2018-09-19,-6.6667
2018-09-20,7.1429
2018-09-21,33.3333
2018-09-24,-22.5
2018-09-25,3.2258
2018-09-26,3.125
2018-09-27,21.2121
2018-09-28,-20.0
2018-10-01,3.125
2018-10-02,-9.0909
2018-10-03,0.0
2018-10-04,0.0
2018-10-05,0.0
2018-10-08,0.0
2018-10-09,-16.6667
2018-10-10,-20.0
2018-10-11,15.0
2018-10-12,-8.6957
2018-10-15,0.0
2018-10-16,42.8571
2018-10-17,-16.6667
2018-10-18,-39.6
2018-10-19,5.9603
2018-10-22,-6.25
2018-10-23,-33.3333
2018-10-24,0.0
2018-10-25,20.0
2018-10-26,-8.3333
2018-10-29,-9.0909
2018-10-30,0.0
2018-10-31,0.0
2018-11-01,50.0
2018-11-02,33.3333
2018-11-05,40.0
2018-11-06,-7.1429
2018-11-07,7.6923
2018-11-08,-17.8571
2018-11-09,-4.3478
2018-11-12,-34.0909
2018-11-13,10.3448
2018-11-14,64.375
2018-11-15,-33.4601
2018-11-16,2.8571
2018-11-19,38.8889
2018-11-20,-1.2
2018-11-21,-35.2227
2018-11-23,25.0
2018-11-26,19.5
2018-11-27,-3.7657
2018-11-28,-21.7391
2018-11-29,21.1111
2018-11-30,14.2202
2018-12-03,42.5703
2018-12-04,-1.6901000000000002
2018-12-06,-5.7307
2018-12-07,-16.4134
2018-12-10,8.7273
2018-12-11,10.0334
2018-12-12,7.9027
2018-12-13,9.8592
2018-12-14,14.3846
2018-12-17,-11.0962
2018-12-18,-34.4428
2018-12-19,3.0769
2018-12-20,-10.4478
2018-12-21,-6.25
2018-12-24,11.1111
2018-12-26,8.0
2018-12-27,-7.7778
2018-12-28,-15.6627
2018-12-31,9.0476
2019-01-02,6.9869
2019-01-03,-14.2857
2019-01-04,11.3095
2019-01-07,1.3904
2019-01-08,-1.2658
2019-01-09,-3.8462
2019-01-10,-9.9556
2019-01-11,0.691
2019-01-14,6.5196
2019-01-15,-3.3594
2019-01-16,-30.9524
2019-01-17,24.1379
2019-01-18,-16.6667
2019-01-22,26.6667
2019-01-23,0.0
2019-01-24,5.2632
2019-01-25,-5.0
2019-01-28,-7.8947
2019-01-29,8.5714
2019-01-30,-7.8947
2019-01-31,-5.7143
