ticker,SAGD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-08-27,70.0
2010-08-30,47.0588
2010-08-31,20.0
2010-09-01,20.0
2010-09-07,1.3889
2010-09-27,-16.4384
2010-11-18,80.3279
2010-11-19,18.1818
2010-11-23,23.0769
2010-11-24,0.0
2010-11-26,12.5
2010-12-22,5.0
2010-12-23,11.1111
2010-12-29,4.7619
2010-12-31,0.0
2011-01-04,0.0
2011-01-05,-9.0909
2011-02-01,10.0
2011-02-02,-3.3636
2011-02-24,-9.6896
2011-02-25,-16.6667
2011-02-28,-11.875
2011-03-01,-14.8936
2011-03-02,-6.6667
2011-03-09,0.0
2011-03-22,5.3571
2011-03-28,16.9492
2011-03-31,1.4493
2011-04-08,0.0
2011-04-25,7.1429
2011-04-28,0.0
2011-04-29,-6.6667
2011-05-02,-2.8571
2011-05-17,0.0
2011-06-03,2.9412000000000003
2011-06-10,14.2857
2011-06-14,-37.5
2011-06-15,-8.0
2011-06-16,2.1739
2011-06-23,0.0
2011-07-06,0.0
2011-07-07,-12.766
2011-07-08,14.6341
2011-07-11,0.0
2011-07-14,-14.8936
2011-07-15,15.0
2011-07-28,-13.0435
2011-08-04,0.0
2011-08-29,0.0
2011-09-08,0.0
2011-10-28,-25.0
2011-10-31,-33.3333
2011-11-04,0.0
2011-11-07,0.0
2011-11-18,25.0
2011-11-28,-20.0
2011-12-02,0.0
2012-06-08,-50.0
2012-06-13,-61.125
2012-06-14,-80.3859
2012-06-15,-25.4098
2012-06-18,-31.8681
2012-06-19,20.9677
2012-06-20,-14.6667
2012-06-21,4.6875
2012-06-22,59.7015
2012-06-25,-5.6075
2012-06-26,-25.7426
2012-06-27,10.6667
2012-06-28,-9.6386
2012-06-29,-8.0
2012-07-02,-14.4928
2012-07-03,-1.6949
2012-07-05,-6.8966
2012-07-06,9.2593
2012-07-09,32.2034
2012-07-10,10.2564
2012-07-11,-12.7907
2012-07-12,21.3333
2012-07-13,-9.8901
2012-07-16,-29.2683
2012-07-17,-8.6207
2012-07-18,1.8868
2012-07-19,-5.5556
2012-07-20,13.7255
2012-07-23,-3.4483
2012-07-24,-14.2857
2012-07-25,-6.25
2012-07-26,-4.4444
2012-07-27,11.6279
2012-07-30,0.0
2012-07-31,0.0
2012-08-01,-12.5
2012-08-02,14.2857
2012-08-03,-16.6667
2012-08-06,12.5
2012-08-07,6.6667
2012-08-08,-27.0833
2012-08-09,31.4286
2012-08-10,-6.5217
2012-08-13,-6.9767
2012-08-14,12.5
