ticker,CRSP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-10-19,0.6429
2016-10-20,-1.0646
2016-10-21,-0.8608
2016-10-24,1.3748
2016-10-25,2.8551
2016-10-26,2.7065
2016-10-27,6.8919
2016-10-28,5.8154
2016-10-31,9.0203
2016-11-01,-1.6438000000000001
2016-11-02,-14.4568
2016-11-03,-0.2279
2016-11-04,-0.7833
2016-11-07,0.0658
2016-11-08,4.4707
2016-11-09,2.3914
2016-11-10,3.5034
2016-11-11,3.9192
2016-11-14,0.5714
2016-11-15,3.125
2016-11-16,18.8981
2016-11-17,1.0195
2016-11-18,-5.9633
2016-11-21,1.4634
2016-11-22,-3.5096
2016-11-23,-3.6372999999999998
2016-11-25,5.4809
2016-11-28,0.7843
2016-11-29,12.2082
2016-11-30,-5.4183
2016-12-01,-8.4326
2016-12-02,-4.7548
2016-12-05,10.0368
2016-12-06,6.1605
2016-12-07,-6.0279
2016-12-08,1.0053
2016-12-09,-1.564
2016-12-12,-1.974
2016-12-13,-3.7328
2016-12-14,-2.5
2016-12-15,0.3663
2016-12-16,1.7727
2016-12-19,5.2766
2016-12-20,-1.8005
2016-12-21,0.4955
2016-12-22,-0.789
2016-12-23,3.6779
2016-12-27,0.767
2016-12-28,-4.8525
2016-12-29,0.15
2016-12-30,1.1482999999999999
2017-01-03,11.0563
2017-01-04,4.6667
2017-01-05,-2.5053
2017-01-06,-1.8293
2017-01-09,1.5528
2017-01-10,0.4369
2017-01-11,-2.6098
2017-01-12,-0.7146
2017-01-13,-4.9033
2017-01-17,1.7029
2017-01-18,3.3952999999999998
2017-01-19,-5.3981
2017-01-20,-4.8978
2017-01-23,-7.3
2017-01-24,2.2114
2017-01-25,-0.5805
2017-01-26,-1.38
2017-01-27,-0.8073
2017-01-30,-3.7439
2017-01-31,0.0564
2017-02-01,-2.9859
2017-02-02,-5.5748999999999995
2017-02-03,-3.7515
2017-02-06,0.639
2017-02-07,-3.3651
2017-02-08,-2.1025
2017-02-09,-0.8054
2017-02-10,1.5562
2017-02-13,9.4604
2017-02-14,5.0517
2017-02-15,-7.8795
2017-02-16,16.2893
2017-02-17,-2.2715
2017-02-21,-4.2612
2017-02-22,2.3699
2017-02-23,-0.3953
2017-02-24,1.4739
2017-02-27,11.4525
2017-02-28,18.947400000000002
2017-03-01,-5.3097
2017-03-02,-4.1389
2017-03-03,-1.857
2017-03-06,3.5004999999999997
2017-03-07,-2.468
2017-03-08,5.1078
2017-03-09,-4.7258
2017-03-10,-1.0295
