ticker,TXGE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-05-28,54.0
2009-06-10,36.3636
2009-06-11,0.0
2009-06-12,0.0
2009-06-15,0.9524
2009-06-16,0.0
2009-08-28,-0.9434
2009-09-08,66.6667
2009-09-09,0.0
2009-09-10,0.0
2009-10-05,-60.5714
2009-10-06,102.8986
2009-10-07,71.4286
2009-10-09,0.0
2009-10-13,-4.1667
2009-10-15,-13.0435
2009-10-16,66.5
2009-10-19,18.9189
2009-10-20,2.2727
2009-10-21,-13.3333
2009-10-22,5.8974
2009-10-23,-5.569
2009-10-26,20.5128
2009-10-27,0.0
2009-10-28,6.383
2009-10-29,2.0
2009-10-30,-2.9412000000000003
2009-11-03,1.0101
2009-11-04,0.0
2009-11-05,0.0
2009-11-06,28.0
2009-11-09,4.6875
2009-11-10,-13.4328
2009-11-11,-6.8966
2009-11-12,0.0
2009-11-13,11.1111
2009-11-16,5.0
2009-11-17,-20.634900000000002
2009-11-18,-22.0
2009-11-19,7.6923
2009-11-20,11.9048
2009-11-23,-1.0638
2009-11-24,-35.4839
2009-11-25,-23.3333
2009-11-27,6.5217
2009-11-30,-42.8571
2009-12-01,7.1429
2009-12-02,6.6667
2009-12-03,12.5
2009-12-04,-11.1111
2009-12-07,-12.5
2009-12-08,14.2857
2009-12-09,-6.25
2009-12-10,-3.3333
2009-12-11,3.4483
2009-12-14,-6.6667
2009-12-15,-17.8571
2009-12-16,-4.3478
2009-12-17,13.75
2009-12-18,22.2777
2009-12-21,7.8431
2009-12-22,3.0303
2009-12-23,-8.8235
2009-12-24,-12.9032
2009-12-28,18.5185
2009-12-29,1.875
2009-12-30,-1.8405
2009-12-31,-12.5
2010-01-04,2.8571
2010-01-05,7.6389
2010-01-06,-1.2903
2010-01-07,-11.7647
2010-01-08,11.1111
2010-01-11,-13.3333
2010-01-12,-16.1538
2010-01-13,-22.0183
2010-01-14,-23.5294
2010-01-15,-7.6923
2010-01-19,-18.3333
2010-01-20,2.0408
2010-01-21,-6.0
2010-01-22,8.5106
2010-01-25,-2.2059
2010-01-26,20.3008
2010-01-27,33.3333
2010-01-28,9.8437
2010-01-29,-3.1294
2010-02-01,-11.8943
2010-02-02,-10.6667
2010-02-03,-10.4478
2010-02-04,26.6667
2010-02-05,5.2632
2010-02-08,-32.5
2010-02-09,-7.4074
2010-02-10,8.0
2010-02-11,-11.1111
2010-02-12,2.0833
2010-02-16,-9.1837
2010-02-17,-16.8539
2010-02-18,2.7027
2010-02-19,5.2632
