ticker,CROX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-02-08,35.9524
2006-02-09,-5.4291
2006-02-10,-1.6667
2006-02-13,4.3315
2006-02-14,0.361
2006-02-15,0.7194
2006-02-16,1.25
2006-02-17,-3.351
2006-02-21,2.1898
2006-02-22,-2.9643
2006-02-23,1.9139
2006-02-24,2.7808
2006-02-27,-0.0351
2006-02-28,-3.3743
2006-03-01,-2.1462
2006-03-02,-1.1152
2006-03-03,-0.9774
2006-03-06,-1.101
2006-03-07,-1.1516
2006-03-08,0.7767
2006-03-09,-1.7341
2006-03-10,-4.902
2006-03-13,-3.1753
2006-03-14,1.0221
2006-03-15,1.4334
2006-03-16,4.3225
2006-03-17,-3.0677
2006-03-20,-5.4665
2006-03-21,-4.087
2006-03-22,-1.9492
2006-03-23,1.5718999999999999
2006-03-24,7.0096
2006-03-27,1.829
2006-03-28,-0.3759
2006-03-29,-0.5031
2006-03-30,4.5512
2006-03-31,1.3704
2006-04-03,4.6918
2006-04-04,2.8864
2006-04-05,0.1846
2006-04-06,-3.1319
2006-04-07,-0.8368
2006-04-10,-0.2685
2006-04-11,1.9231
2006-04-12,0.717
2006-04-13,0.0375
2006-04-17,-0.3745
2006-04-18,1.391
2006-04-19,0.0371
2006-04-20,1.8162
2006-04-21,1.0557
2006-04-24,0.3602
2006-04-25,-0.323
2006-04-26,3.0248
2006-04-27,4.5439
2006-04-28,-0.0334
2006-05-01,-1.505
2006-05-02,0.9508
2006-05-03,5.9536
2006-05-04,2.6984
2006-05-05,-1.5455999999999999
2006-05-08,-8.9482
2006-05-09,2.7931
2006-05-10,-2.0127
2006-05-11,-0.0347
2006-05-12,-0.89
2006-05-15,-2.1078
2006-05-16,-2.3297
2006-05-17,2.2768
2006-05-18,-1.0247
2006-05-19,3.6059
2006-05-22,0.2412
2006-05-23,-3.747
2006-05-24,-5.6786
2006-05-25,-1.5524
2006-05-26,-7.0
2006-05-30,-2.6055
2006-05-31,-2.7176
2006-06-01,5.1506
2006-06-02,1.8265
2006-06-05,-4.2397
2006-06-06,-0.7237
2006-06-07,0.5146
2006-06-08,-1.4505
2006-06-09,5.3247
2006-06-12,-4.2335
2006-06-13,-5.1502
2006-06-14,4.0271
2006-06-15,2.6968
2006-06-16,2.9648
2006-06-19,-3.332
2006-06-20,1.7021
2006-06-21,-0.6276
2006-06-22,0.6737
2006-06-23,0.2928
2006-06-26,0.2085
2006-06-27,-3.1627
2006-06-28,1.8049
2006-06-29,5.0232
