ticker,KAST US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-03-14,900.0
2000-03-24,-90.0
2000-05-19,0.0
2000-09-20,0.0
2000-10-25,0.0
2000-12-06,50.0
2000-12-18,-33.3333
2000-12-26,50.0
2001-01-10,-33.3333
2001-01-16,50.0
2001-01-17,200.0
2001-01-18,-22.2222
2001-01-29,78.5714
2001-02-14,-60.0
2001-03-01,0.0
2001-03-12,0.0
2001-03-20,0.0
2001-03-26,-20.0
2001-04-02,150.0
2001-04-03,0.0
2001-04-05,-50.0
2001-04-09,80.0
2001-04-10,-22.2222
2001-04-11,42.8571
2001-04-12,0.0
2001-04-17,-40.0
2001-04-19,0.0
2001-04-20,33.3333
2001-04-26,18.75
2001-04-30,0.0
2001-05-07,5.2632
2001-05-09,-30.0
2001-05-11,-14.2857
2001-05-14,66.6667
2001-05-21,25.0
2001-05-23,100.0
2001-05-25,-36.0
2001-06-04,-6.25
2001-06-06,0.0
2001-06-08,-20.0
2001-06-12,0.0
2001-06-18,-16.6667
2001-06-19,0.0
2001-06-28,-10.0
2001-06-29,-11.1111
2001-07-02,50.0
2001-07-10,-8.3333
2001-07-11,-18.1818
2001-07-16,-22.2222
2001-07-17,42.8571
2001-07-24,0.0
2001-07-26,-20.0
2001-07-30,25.0
2001-08-14,40.0
2001-08-16,-28.5714
2001-08-17,20.0
2001-08-20,-16.6667
2001-08-21,0.0
2001-08-29,-20.0
2001-09-19,-12.5
2001-10-12,0.0
2001-10-22,0.0
2001-10-23,42.8571
2001-12-17,-50.0
2002-01-24,-60.0
2002-01-28,-50.0
2002-01-30,400.0
2002-03-28,-20.0
2002-04-16,0.0
2002-04-18,50.0
2002-04-19,33.3333
2002-05-06,-25.0
2002-06-17,-16.6667
2002-07-15,0.0
2002-10-28,-80.0
2002-11-13,0.0
2002-12-13,0.0
2002-12-16,100.0
2003-03-06,0.0
2003-06-20,0.0
2003-07-14,0.0
2003-07-29,400.0
2003-10-09,-70.0
2003-10-31,-33.3333
2003-12-05,0.0
2003-12-09,0.0
2003-12-17,400.0
2003-12-23,20.0
2004-01-02,-16.6667
2004-02-05,-50.0
2004-02-09,200.0
2004-02-20,-60.0
2004-02-23,66.6667
2004-04-05,-40.0
2004-05-10,66.6667
2004-05-12,0.0
2004-06-01,-30.0
2004-08-31,42.8571
2005-03-21,-10.0
2005-05-02,-11.1111
2005-05-27,0.0
2005-12-27,-50.0
2006-01-10,0.0
2006-02-07,0.0
2006-02-27,0.0
2006-03-15,0.0
