ticker,BMCH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-08-09,3.0714
2013-08-12,1.1781
2013-08-13,-2.0548
2013-08-14,-1.958
2013-08-15,-0.0713
2013-08-16,-3.5689
2013-08-19,-4.7372
2013-08-20,1.0101
2013-08-21,-0.7692
2013-08-22,1.3178
2013-08-23,3.3665
2013-08-26,6.2176
2013-08-27,-2.3693
2013-08-28,1.8558
2013-08-29,1.6118000000000001
2013-08-30,-1.7931
2013-09-03,-7.3034
2013-09-04,-1.1364
2013-09-05,2.2222
2013-09-06,1.2744
2013-09-09,2.0725
2013-09-10,-0.9427
2013-09-11,-0.1464
2013-09-12,0.0733
2013-09-13,0.0733
2013-09-16,0.8053
2013-09-17,-0.1452
2013-09-18,1.6145
2013-09-19,-3.8792
2013-09-20,-2.0849
2013-09-23,1.4449
2013-09-24,0.9745
2013-09-25,1.1136
2013-09-26,0.1468
2013-09-27,-2.1994
2013-09-30,-1.4993
2013-10-01,-3.7291
2013-10-02,0.7905
2013-10-03,3.6078
2013-10-04,2.8009
2013-10-07,0.5155
2013-10-08,-0.293
2013-10-09,-0.2204
2013-10-10,0.3682
2013-10-11,3.1548
2013-10-14,0.1422
2013-10-15,0.142
2013-10-16,-0.7092
2013-10-17,1.0
2013-10-18,2.6874000000000002
2013-10-21,-1.1019
2013-10-22,0.8357
2013-10-23,0.7597
2013-10-24,-0.3427
2013-10-25,3.3012
2013-10-28,0.7324
2013-10-29,-0.1983
2013-10-30,2.0861
2013-10-31,-0.0973
2013-11-01,0.7273
2013-11-04,3.2104
2013-11-05,0.1874
2013-11-06,1.0599
2013-11-07,-0.987
2013-11-08,0.8723
2013-11-11,0.3088
2013-11-12,0.5542
2013-11-13,2.3882
2013-11-14,1.6745999999999999
2013-11-15,1.2353
2013-11-18,-0.4067
2013-11-19,-2.3921
2013-11-20,-1.6139000000000001
2013-11-21,2.8554
2013-11-22,-0.886
2013-11-25,-0.3576
2013-11-26,1.0766
2013-11-27,9.3491
2013-11-29,-0.9199
2013-12-02,-4.26
2013-12-03,-1.4832
2013-12-04,-1.5055
2013-12-05,-0.7055
2013-12-06,3.9076
2013-12-09,-2.6211
2013-12-10,-1.8138999999999998
2013-12-11,1.8474
2013-12-12,1.4628
2013-12-13,0.6344
2013-12-16,2.5788
2013-12-17,1.9553
2013-12-18,-0.0548
2013-12-19,-3.3991
2013-12-20,1.2486
2013-12-23,4.0919
2013-12-24,-0.6462
2013-12-26,-0.3252
2013-12-27,0.87
