ticker,NMKEF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-11-11,-5.6879
2010-11-15,3.5047
2010-11-18,-2.2573
2010-11-19,-3.4642
2010-11-22,-0.4785
2010-11-26,10.5769
2010-11-29,13.8723
2010-12-01,-5.3096
2010-12-02,-1.6129
2010-12-03,7.1721
2010-12-06,0.0
2010-12-08,-7.1702
2010-12-09,5.0463
2010-12-15,-11.201
2010-12-17,-2.9534000000000002
2010-12-20,21.9568
2010-12-27,1.7024
2010-12-28,15.9367
2010-12-30,-12.0253
2010-12-31,-1.259
2011-01-03,3.8251
2011-01-04,7.0175
2011-01-05,-0.4918
2011-01-06,-8.0725
2011-01-10,-8.9046
2011-01-13,6.6273
2011-01-18,3.321
2011-01-19,15.5357
2011-01-20,-1.932
2011-01-21,0.6304
2011-01-24,-4.6202
2011-01-25,-5.5008
2011-01-27,2.5195
2011-01-28,3.8771
2011-01-31,-2.9166
2011-02-01,2.7731
2011-02-02,-4.4971
2011-02-03,4.7945
2011-02-04,-5.2288
2011-02-08,4.6552
2011-02-09,0.4942
2011-02-10,-8.6066
2011-02-14,4.3946
2011-02-16,-4.9828
2011-02-17,0.1808
2011-02-25,4.2419
2011-02-28,-1.4394
2011-03-01,0.1427
2011-03-02,-5.0877
2011-03-03,3.3272
2011-03-04,25.2236
2011-03-07,-20.7857
2011-03-08,2.0176
2011-03-09,3.8338
2011-03-10,-15.4714
2011-03-11,7.0242
2011-03-14,-5.9045
2011-03-15,0.225
2011-03-16,-9.0047
2011-03-17,5.085
2011-03-18,6.2215
2011-03-23,-4.7151
2011-03-30,2.8866
2011-03-31,4.6091999999999995
2011-04-01,-1.7241
2011-04-05,1.7909000000000002
2011-04-06,0.9216
2011-04-07,0.0
2011-04-08,-1.7078
2011-04-11,0.0
2011-04-12,-4.0541
2011-04-13,3.6217
2011-04-14,1.9417
2011-04-15,-5.619
2011-04-18,2.3209
2011-04-19,2.1696
2011-04-21,0.3861
2011-04-25,-0.1923
2011-04-27,-0.9634
2011-04-28,-2.7237
2011-04-29,6.4
2011-05-02,-5.6156
2011-05-03,-2.8129999999999997
2011-05-04,5.123
2011-05-05,-0.9747
2011-05-06,-3.9370000000000003
2011-05-09,-1.4344000000000001
2011-05-12,4.158
2011-05-13,1.7964
2011-05-16,0.0
2011-05-17,-0.3922
2011-05-19,-1.5748
2011-05-24,-3.2
2011-06-02,0.1033
2011-06-03,2.4768
2011-06-06,-3.3233
2011-06-09,-2.0833
2011-06-10,4.5745000000000005
