ticker,SNX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2003-11-25,-2.069
2003-11-26,0.3521
2003-11-28,0.0
2003-12-01,-1.7544
2003-12-02,-1.2857
2003-12-03,2.5326
2003-12-04,1.4114
2003-12-05,0.7655
2003-12-08,-0.5525
2003-12-09,-0.6944
2003-12-10,-2.7273
2003-12-11,1.7254
2003-12-12,0.3534
2003-12-15,0.3521
2003-12-16,0.2807
2003-12-17,-0.2799
2003-12-18,0.7018
2003-12-19,-1.0453
2003-12-22,-0.6338
2003-12-23,-0.0709
2003-12-24,0.0
2003-12-26,-1.0638
2003-12-29,-0.5018
2003-12-30,-0.2882
2003-12-31,-0.578
2004-01-02,-0.0727
2004-01-05,0.3636
2004-01-06,1.3768
2004-01-07,9.3638
2004-01-08,8.8235
2004-01-09,14.1141
2004-01-12,2.1053
2004-01-13,-1.4948000000000001
2004-01-14,-2.1455
2004-01-15,0.8021
2004-01-16,-0.7958
2004-01-20,0.7487
2004-01-21,0.3185
2004-01-22,-0.5291
2004-01-23,0.4787
2004-01-26,-2.1705
2004-01-27,-3.1385
2004-01-28,0.2793
2004-01-29,-1.1142
2004-01-30,0.4507
2004-02-02,-0.5609
2004-02-03,-2.3125
2004-02-04,-1.3857
2004-02-05,1.8735
2004-02-06,-1.0345
2004-02-09,3.3682
2004-02-10,2.9213
2004-02-11,2.0742
2004-02-12,4.2781
2004-02-13,-0.4615
2004-02-17,1.391
2004-02-18,-0.4573
2004-02-19,-0.9699
2004-02-20,0.2577
2004-02-23,-0.8226
2004-02-24,-2.9549
2004-02-25,4.9679
2004-02-26,0.0
2004-02-27,-1.7812000000000001
2004-03-01,1.4508
2004-03-02,0.3575
2004-03-03,-1.374
2004-03-04,0.3612
2004-03-05,0.2571
2004-03-08,0.0
2004-03-09,-1.0256
2004-03-10,0.0
2004-03-11,-1.2953000000000001
2004-03-12,-1.8373
2004-03-15,-0.2674
2004-03-16,0.8043
2004-03-17,1.0638
2004-03-18,-1.3684
2004-03-19,0.3202
2004-03-22,-2.3936
2004-03-23,0.2725
2004-03-24,-0.8152
2004-03-25,0.0
2004-03-26,-0.0548
2004-03-29,1.9737
2004-03-30,-1.3441
2004-03-31,0.8174
2004-04-01,-0.5405
2004-04-02,4.5652
2004-04-05,1.3514
2004-04-06,1.4359
2004-04-07,1.1122
2004-04-08,2.0
2004-04-12,1.7157
2004-04-13,0.6265
2004-04-14,-3.9751
2004-04-15,-4.4389
2004-04-16,2.6618
2004-04-19,3.7112
