ticker,PFGC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-10-01,1.0526
2015-10-02,10.3125
2015-10-05,3.966
2015-10-06,-3.4968
2015-10-07,0.0471
2015-10-08,3.3866
2015-10-09,-1.2278
2015-10-12,2.6710000000000003
2015-10-13,-1.2113
2015-10-14,1.2262
2015-10-15,0.5832
2015-10-16,-2.1409
2015-10-19,0.0456
2015-10-20,0.7289
2015-10-21,0.3166
2015-10-22,0.0451
2015-10-23,0.0
2015-10-26,-0.721
2015-10-27,2.2242
2015-10-28,-0.0444
2015-10-29,0.7108
2015-10-30,0.4411
2015-11-02,-0.0878
2015-11-03,1.011
2015-11-04,-4.6997
2015-11-05,-1.7351999999999999
2015-11-06,1.5335
2015-11-09,-0.7323
2015-11-10,4.8408999999999995
2015-11-11,0.2639
2015-11-12,-1.5789
2015-11-13,-0.2228
2015-11-16,-0.134
2015-11-17,1.7889
2015-11-18,1.0545
2015-11-19,-1.5217
2015-11-20,0.0442
2015-11-23,1.6328
2015-11-24,0.3474
2015-11-25,-0.6491
2015-11-27,0.9146
2015-11-30,-0.1726
2015-12-01,-0.3891
2015-12-02,-0.3906
2015-12-03,-4.5316
2015-12-04,0.3195
2015-12-07,4.6406
2015-12-08,0.0
2015-12-09,-0.1739
2015-12-10,-1.0453
2015-12-11,-0.2641
2015-12-14,0.9267
2015-12-15,1.3992
2015-12-16,1.8974
2015-12-17,6.1786
2015-12-18,-3.1487
2015-12-21,1.1934
2015-12-22,-0.488
2015-12-23,-0.3269
2015-12-24,1.23
2015-12-28,-3.1997
2015-12-29,-0.9623
2015-12-30,-1.0562
2015-12-31,-1.1956
2016-01-04,-3.1547
2016-01-05,-1.2941
2016-01-06,-1.6275
2016-01-07,-1.8382
2016-01-08,-2.6217
2016-01-11,-0.1442
2016-01-12,-2.311
2016-01-13,1.0843
2016-01-14,3.5105
2016-01-15,-1.7899
2016-01-19,1.7746
2016-01-20,3.5815
2016-01-21,-1.5469
2016-01-22,1.6174
2016-01-25,-2.7285
2016-01-26,2.4778000000000002
2016-01-27,-1.4599
2016-01-28,2.4537
2016-01-29,5.7388
2016-02-01,4.3162
2016-02-02,-1.1471
2016-02-03,1.8235000000000001
2016-02-04,-3.7851
2016-02-05,-1.7766
2016-02-08,1.8088
2016-02-09,-1.0152
2016-02-10,-2.3932
2016-02-11,-1.62
2016-02-12,-4.1834
2016-02-16,4.3196
2016-02-17,-0.5788
2016-02-18,1.2539
2016-02-19,1.0172
2016-02-22,1.7513
