ticker,FORW US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-12-22,0.0
2001-09-20,0.0
2001-11-26,400.0
2002-01-14,-98.6667
2002-02-27,10000.0
2002-05-14,-99.0099
2002-05-24,0.0
2002-06-11,10000.0
2002-06-25,0.0
2002-09-23,0.0
2002-09-24,197.0297
2002-10-01,31.0
2002-10-03,1.7812000000000001
2002-10-08,0.0
2002-10-15,-2.5
2002-10-16,-23.0769
2002-10-17,-1.6667
2002-10-18,1.6949
2002-10-21,13.3333
2002-10-22,10.2941
2002-10-23,-10.6667
2002-10-24,-17.9104
2002-10-29,33.8182
2002-10-31,0.5435
2002-11-05,8.1081
2002-11-08,22.5
2002-11-11,-1.0204
2002-11-12,2.4742
2002-11-25,0.6036
2002-12-11,-1.0
2002-12-12,-19.1919
2002-12-17,0.0
2002-12-23,-37.5
2002-12-24,80.0
2002-12-30,-11.1111
2003-01-08,-67.5
2003-01-09,226.9231
2003-01-10,-29.4118
2003-01-27,-16.6667
2003-01-28,-44.0
2003-01-31,78.5714
2003-02-19,-44.0
2003-02-28,150.0
2003-03-12,-64.2857
2003-04-14,-19.2
2003-05-12,-68.3168
2003-05-13,837.5
2003-06-02,-89.3333
2003-06-05,215.625
2003-06-09,-68.3168
2003-06-10,215.625
2003-07-09,-0.9901
2003-07-21,-30.0
2003-07-22,-27.1429
2003-07-25,0.0
2003-09-09,-31.3725
2003-10-15,0.0
2003-10-16,20.0
2003-10-28,-23.8095
2003-12-01,-21.875
2003-12-02,-4.0
2003-12-08,-37.5
2003-12-09,-6.6667
2003-12-15,-7.1429
2003-12-19,0.0
2004-01-05,-23.0769
2004-01-06,0.0
2004-02-11,-10.0
2004-02-25,-11.1111
2004-03-25,-50.0
2004-03-30,-25.0
2004-07-26,33.3333
2004-09-22,100.0
2004-10-05,-62.5
2004-11-08,0.0
2004-12-21,-99.5833
2004-12-29,23900.0
2005-02-10,100.0
2005-02-14,0.0
2005-02-15,0.0
2005-02-16,-16.6667
2005-02-17,60.0
2005-02-18,125.0
2005-02-22,38.8889
2005-02-23,20.0
2005-02-25,-66.6667
2005-03-22,0.0
2005-04-01,0.0
2005-04-04,0.0
2005-05-31,0.0
2005-07-08,-40.0
2005-09-13,-33.3333
2005-09-16,0.0
2005-09-19,775.0
2005-09-20,-20.0
2005-09-22,17.8571
2005-09-23,0.0
2005-09-28,-9.0909
2005-10-03,-26.6667
2005-10-06,27.2727
2005-10-07,0.0
2005-10-10,-21.4286
2005-10-11,13.6364
