ticker,SDSYA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-11-27,5.9561
2018-12-13,-5.0296
2019-02-26,1.2461
2019-03-26,0.9231
2019-05-24,6.7073
2019-06-21,-0.5714
2019-07-15,4.3103
2020-01-23,-3.8567
