ticker,PREXF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-06-02,292.1569
2008-06-04,-25.0
2008-06-11,-16.6667
2008-06-13,-20.0
2008-06-26,5.0
2008-06-30,-52.381
2008-07-01,0.0
2008-07-11,102.0
2008-07-14,0.0
2008-07-15,0.0
2008-07-16,0.0
2008-07-17,0.0
2008-07-21,0.0
2008-07-22,0.0
2008-07-23,0.0
2008-07-24,0.0
2008-07-25,0.0
2008-07-28,8.9109
2008-07-29,-4.5455
2008-07-30,0.0
2008-07-31,0.0
2008-08-01,0.0
2008-08-04,0.0
2008-08-05,0.0
2008-08-06,0.0
2008-08-07,-0.9524
2008-08-11,-3.8462
2008-08-12,5.0
2008-08-15,0.0
2008-08-18,-4.7619
2008-08-19,5.0
2008-08-20,0.0
2008-08-21,0.0
2008-08-22,0.0
2008-08-25,0.0
2008-08-26,0.0
2008-08-27,0.0
2008-08-28,0.0
2008-08-29,0.0
2008-09-02,0.0
2008-09-03,0.0
2008-09-05,0.0
2008-09-08,-4.7619
2008-09-09,4.0
2008-09-11,0.9615
2008-09-16,-4.7619
2008-09-17,5.0
2008-09-18,0.0
2008-09-29,-4.7619
2008-09-30,4.0
2008-10-02,0.0
2008-10-03,-0.9615
2008-10-06,-7.767
2008-10-07,0.0
2008-10-08,6.3158
2008-10-09,0.0
2008-10-10,3.9604
2008-10-13,-14.2857
2008-10-14,0.0
2008-10-15,0.0
2008-10-16,0.0
2008-10-17,16.6667
2008-10-20,0.0
2008-10-24,-9.5238
2008-10-28,-10.0
2008-10-29,0.0
2008-10-30,-5.848
2008-10-31,24.2236
2008-11-07,5.0
2008-11-10,-1.9048
2008-11-11,-2.9126
2008-11-12,0.0
2008-11-17,5.0
2008-11-18,0.0
2008-11-19,0.0
2008-11-20,-0.9524
2008-11-21,-8.6538
2008-11-25,0.0
2008-12-02,0.0
2008-12-03,9.473700000000001
2008-12-05,-0.9615
2008-12-08,0.9709
2008-12-09,0.0
2008-12-11,-3.8462
2008-12-12,-5.0
2008-12-16,0.0
2008-12-17,1.0526
2008-12-24,-6.25
2008-12-26,0.0
2009-01-02,0.0
2009-01-14,0.0
2009-01-16,-5.5556
2009-01-21,-5.8824
2009-01-23,-12.5
2009-01-26,7.1429
2009-01-27,5.3333
2009-01-28,1.2658
2009-01-29,0.0
2009-01-30,31.25
2009-02-02,0.0
2009-02-03,0.0
2009-02-04,0.0
2009-02-18,-19.0476
2009-02-20,0.0
2009-02-23,0.0
2009-02-26,-5.8824
