ticker,ATRA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-10-16,-3.1818
2014-10-17,12.6761
2014-10-20,19.5833
2014-10-21,-3.4843
2014-10-22,-1.2995999999999999
2014-10-23,-2.8529999999999998
2014-10-24,12.1235
2014-10-27,16.454
2014-10-28,16.7243
2014-10-29,-7.1146
2014-10-30,4.8936
2014-10-31,-2.7382999999999997
2014-11-03,24.7654
2014-11-04,0.0836
2014-11-05,4.0084
2014-11-06,-0.4416
2014-11-07,15.9274
2014-11-10,-8.1043
2014-11-11,2.9901999999999997
2014-11-12,-17.1261
2014-11-13,1.9512
2014-11-14,0.7829
2014-11-17,15.1057
2014-11-18,-1.1999
2014-11-19,2.4668
2014-11-20,-3.4074
2014-11-21,3.0291
2014-11-24,0.7071
2014-11-25,-4.3237
2014-11-26,4.2487
2014-11-28,0.0371
2014-12-01,-1.2593
2014-12-02,19.2798
2014-12-03,-4.1509
2014-12-04,3.3793
2014-12-05,-3.2688
2014-12-08,0.0
2014-12-09,-7.6772
2014-12-10,10.2701
2014-12-11,-11.0538
2014-12-12,-7.6449
2014-12-15,-11.7301
2014-12-16,8.2222
2014-12-17,23.6961
2014-12-18,-7.2045
2014-12-19,-0.3578
2014-12-22,-1.9031
2014-12-23,0.9883
2014-12-24,1.486
2014-12-26,-1.0357
2014-12-29,-2.2375
2014-12-30,0.6275
2014-12-31,-1.8709
2015-01-02,-0.1869
2015-01-05,4.0449
2015-01-06,-6.8035
2015-01-07,0.4249
2015-01-08,0.4231
2015-01-09,-2.8342
2015-01-12,8.2381
2015-01-13,-6.3365
2015-01-14,3.9269
2015-01-15,-7.6319
2015-01-16,1.8631
2015-01-20,-5.2087
2015-01-21,-1.9295
2015-01-22,0.941
2015-01-23,-1.9492
2015-01-26,2.9818
2015-01-27,3.3991
2015-01-28,-7.6705
2015-01-29,7.4725
2015-01-30,-0.3681
2015-02-02,-3.6946
2015-02-03,-1.8329
2015-02-04,-8.9014
2015-02-05,-8.1506
2015-02-06,0.0519
2015-02-09,-5.083
2015-02-10,4.5902
2015-02-11,-3.0825
2015-02-12,-2.4259
2015-02-13,-0.5525
2015-02-17,5.0
2015-02-18,6.2434
2015-02-19,7.8685
2015-02-20,-1.5697
2015-02-23,7.2702
2015-02-24,-6.1653
2015-02-25,-3.1221
2015-02-26,0.8177
2015-02-27,-6.6794
2015-03-02,4.7035
2015-03-03,7.5195
2015-03-04,20.5722
2015-03-05,8.2863
2015-03-06,-1.5304
2015-03-09,5.0865
