ticker,KRG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-08-11,0.0
2004-08-12,-1.9231
2004-08-13,0.7843
2004-08-16,-0.5447
2004-08-17,0.5477
2004-08-18,0.0
2004-08-19,0.4669
2004-08-20,0.6971
2004-08-23,-0.3846
2004-08-24,-0.3089
2004-08-25,0.0775
2004-08-26,0.9288
2004-08-27,0.0767
2004-08-30,0.0766
2004-08-31,1.4548
2004-09-01,-0.3774
2004-09-02,0.9848
2004-09-03,-0.8252
2004-09-07,0.1513
2004-09-08,-0.5287
2004-09-09,-0.2278
2004-09-10,0.6088
2004-09-13,-0.7564
2004-09-14,-0.3811
2004-09-15,-0.2295
2004-09-16,-0.3067
2004-09-17,0.1538
2004-09-20,0.0768
2004-09-21,0.2302
2004-09-22,0.0
2004-09-23,0.6891
2004-09-24,-0.4563
2004-09-27,0.0764
2004-09-28,-0.0763
2004-09-29,0.382
2004-09-30,0.7896
2004-10-01,0.2281
2004-10-04,1.1381000000000001
2004-10-05,-1.7254
2004-10-06,2.2137000000000002
2004-10-07,-0.5228
2004-10-08,0.976
2004-10-11,0.6691
2004-10-12,-1.034
2004-10-13,-1.6418
2004-10-14,-0.5311
2004-10-15,-0.4577
2004-10-18,0.0766
2004-10-19,-0.9188
2004-10-20,0.4637
2004-10-21,0.0
2004-10-22,-0.7692
2004-10-25,-0.5426
2004-10-26,1.7147000000000001
2004-10-27,3.0651
2004-10-28,-1.4126
2004-10-29,-0.4525
2004-11-01,-0.9091
2004-11-02,0.4587
2004-11-03,-0.1522
2004-11-04,0.6098
2004-11-05,-1.5152
2004-11-08,1.1538
2004-11-09,0.3802
2004-11-10,-1.1364
2004-11-11,1.5326
2004-11-12,1.5093999999999999
2004-11-15,1.71
2004-11-16,-0.5848
2004-11-17,-2.5735
2004-11-18,2.1132
2004-11-19,-0.0739
2004-11-22,1.3314
2004-11-23,2.5547
2004-11-24,-0.3559
2004-11-26,-0.0714
2004-11-29,-0.2859
2004-11-30,-0.5018
2004-12-01,4.1066
2004-12-02,2.2145
2004-12-03,-1.6926
2004-12-06,1.9284
2004-12-07,-1.5541
2004-12-08,0.0686
2004-12-09,1.6461000000000001
2004-12-10,-0.5398
2004-12-13,0.0678
2004-12-14,0.7458
2004-12-15,-3.0956
2004-12-16,-1.7361
2004-12-17,3.8869
2004-12-20,0.6122
2004-12-21,1.3523
2004-12-22,0.7338
2004-12-23,0.0
2004-12-27,0.9934
2004-12-28,1.2459
2004-12-29,-0.2591
