ticker,CELZ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-04-28,4445.4545
2016-05-18,-80.0
2016-05-19,100.0
2016-05-25,50.0
2016-06-07,116.6667
2016-06-14,-46.1538
2016-06-21,-5.7143
2016-08-01,54.5455
2016-08-26,0.0
2017-02-03,-9.0196
2017-02-22,9.9138
2017-03-13,0.0
2017-04-05,7.8431
2017-04-06,0.0
2017-04-07,-18.1818
2017-04-10,0.0
2017-05-12,8.5556
2017-05-18,-10.2354
2017-05-22,-7.6397
2017-06-02,3.7037
2017-06-05,-28.5714
2017-06-06,40.0
2017-06-07,-38.0952
2017-06-08,-7.3846
2017-06-12,74.4186
2017-06-14,-4.7619
2017-06-19,25.0
2017-06-21,-10.0
2017-06-23,0.0
2017-06-28,-22.2222
2017-06-29,28.5714
2017-07-07,-17.1111
2017-07-10,7.2386
2017-07-20,2.25
2017-07-24,2.6895
2017-07-27,0.0
2017-08-02,-35.7143
2017-08-03,-4.1741
2017-08-04,4.3559
2017-08-08,-3.3333
2017-08-21,-2.2989
2017-08-22,-21.5686
2017-08-23,4.325
2017-08-24,-32.902
2017-08-25,42.8571
2017-08-28,0.0
2017-08-29,0.0
2017-08-30,10.0
2017-08-31,0.0
2017-09-01,0.0
2017-09-05,0.0
2017-09-07,-8.1818
2017-09-11,-0.9901
2017-09-12,9.95
2017-09-13,-4.502
2017-09-14,0.0
2017-09-15,0.0
2017-09-18,-4.7619
2017-09-19,0.0
2017-09-26,0.0
2017-09-28,-18.95
2017-09-29,23.3806
2017-10-02,-18.95
2017-10-03,32.1468
2017-10-04,-11.302
2017-10-05,-10.0
2017-10-11,27.4854
2017-10-16,-8.2569
2017-10-17,0.0
2017-10-19,-10.0
2017-10-20,-33.3333
2017-10-23,50.0
2017-10-24,0.0
2017-11-06,-44.4444
2017-11-07,-30.0
2017-11-08,140.0
2017-11-09,-40.4762
2017-11-10,-24.5
2017-11-13,19.2053
2017-11-14,0.0
2017-11-15,-33.3333
2017-11-16,-19.1667
2017-11-17,3.0928
2017-11-20,0.0
2017-11-21,0.0
2017-11-27,-14.6
2017-11-28,-29.7424
2017-11-29,33.3333
2017-12-01,0.0
2017-12-04,0.0
2017-12-08,0.0
2017-12-11,-37.5
2017-12-12,-20.0
2017-12-13,-25.0
2017-12-14,200.0
2017-12-15,-49.7778
2017-12-18,32.7434
2017-12-19,-33.3333
2017-12-20,-25.5
2017-12-21,-6.7114
2017-12-22,-4.6763
2017-12-26,-5.6604
2017-12-27,-4.0
