ticker,ULH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-02-11,12.5
2005-02-14,1.7778
2005-02-15,-0.655
2005-02-16,-4.3077
2005-02-17,-2.6183
2005-02-18,0.9434
2005-02-22,0.7009
2005-02-23,-0.232
2005-02-24,1.3488
2005-02-25,4.4057
2005-02-28,-0.7912
2005-03-01,-0.1772
2005-03-02,4.3054
2005-03-03,-2.2979
2005-03-04,-2.0035
2005-03-07,-1.7332999999999998
2005-03-08,-2.3519
2005-03-09,0.2779
2005-03-10,-0.3695
2005-03-11,3.1525
2005-03-14,2.0674
2005-03-15,-0.3082
2005-03-16,-2.1201
2005-03-17,-0.9477
2005-03-18,2.0501
2005-03-21,-1.1607
2005-03-22,3.4327
2005-03-23,-2.8384
2005-03-24,0.0
2005-03-28,-1.573
2005-03-29,-0.2283
2005-03-30,-1.4645000000000001
2005-03-31,-1.9971999999999999
2005-04-01,-3.4123
2005-04-04,-1.9136
2005-04-05,3.5518
2005-04-06,-1.9324
2005-04-07,-1.4778
2005-04-08,-2.5
2005-04-11,-4.6154
2005-04-12,-0.8065
2005-04-13,1.084
2005-04-14,-4.2574
2005-04-15,-2.1057
2005-04-18,-3.8902
2005-04-19,0.1786
2005-04-20,5.8824
2005-04-21,0.7295
2005-04-22,-8.3008
2005-04-25,-1.8226
2005-04-26,-2.8465
2005-04-27,-1.9108
2005-04-28,3.1169000000000002
2005-04-29,0.3778
2005-05-02,0.3137
2005-05-03,-3.1895
2005-05-04,2.0026
2005-05-05,-1.0133
2005-05-06,-2.3672
2005-05-09,-2.1625
2005-05-10,0.6028
2005-05-11,-0.2663
2005-05-12,0.1335
2005-05-13,-3.3333
2005-05-16,3.1034
2005-05-17,0.6689
2005-05-18,6.5781
2005-05-19,4.9875
2005-05-20,1.7221
2005-05-23,1.5178
2005-05-24,-2.2427
2005-05-25,1.4706000000000001
2005-05-26,-1.4493
2005-05-27,-0.2353
2005-05-31,-1.533
2005-06-01,2.5749
2005-06-02,0.4086
2005-06-03,0.3488
2005-06-06,1.6802000000000001
2005-06-07,-0.057
2005-06-08,-2.6795999999999998
2005-06-09,-2.3433
2005-06-10,0.4799
2005-06-13,0.7164
2005-06-14,-0.7706
2005-06-15,-5.6152999999999995
2005-06-16,-3.2278000000000002
2005-06-17,-1.8313000000000001
2005-06-20,-4.7302
2005-06-21,0.8392
2005-06-22,-5.8946
2005-06-23,1.9897
2005-06-24,7.3699
2005-06-27,3.2974
2005-06-28,2.4756
2005-06-29,1.9708
