ticker,CKX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-11,-16.6667
2000-02-14,6.6667
2000-02-15,0.0
2000-02-16,0.0
2000-02-17,18.75
2000-02-25,-15.7895
2000-03-09,25.0
2000-03-17,0.0
2000-03-30,10.0
2000-04-05,-9.0909
2000-04-10,-6.25
2000-04-11,-4.0
2000-04-12,11.1111
2000-06-12,0.0
2000-06-13,20.0
2000-06-14,-12.5
2000-06-15,4.7619
2000-06-30,2.2727
2000-07-05,42.2222
2000-07-06,-25.0
2000-07-17,-12.5
2000-08-09,42.8571
2000-09-07,6.6667
2000-09-12,-26.5625
2000-09-13,-2.1277
2000-09-14,17.3913
2000-09-28,-11.1111
2000-10-10,0.0
2000-10-11,0.0
2000-10-23,-8.3333
2000-10-26,0.0
2000-10-30,0.0
2000-11-01,0.0
2000-11-10,-13.6364
2000-11-13,0.0
2000-11-14,0.0
2000-11-29,-5.2632
2000-12-01,0.0
2000-12-18,2.7778
2000-12-28,-8.1081
2001-01-11,-11.7647
2001-01-17,0.0
2001-01-19,23.3333
2001-01-24,-18.9189
2001-01-29,0.0
2001-01-30,3.3333
2001-02-09,12.9032
2001-02-13,2.8571
2001-02-14,-10.4167
2001-02-16,17.8295
2001-03-08,-15.7895
2001-03-13,0.0
2001-03-19,25.0
2001-03-21,-20.0
2001-03-29,3.125
2001-04-10,39.3939
2001-04-20,-12.8696
2001-05-08,-3.1936
2001-05-21,3.0928
2001-05-22,-4.4
2001-08-03,-1.2551999999999999
2001-08-07,5.9322
2001-09-24,17.0
2001-10-05,6.8376
2002-02-11,4.0
2002-02-14,-4.6154
2002-05-03,0.8065
2002-05-06,-0.8
2002-05-16,-6.4516
2002-06-13,-11.7241
2002-08-12,-10.1563
2002-08-29,32.6087
2002-09-12,2.459
2002-09-19,-20.0
2002-09-30,0.0
2002-10-09,1.0
2002-10-28,-2.9703
2002-10-29,12.2449
2002-11-04,-12.7273
2002-12-23,25.0
2002-12-31,-13.3333
2003-01-09,34.6154
2003-02-26,-27.4286
2003-02-27,18.1102
2003-02-28,-8.3333
2003-03-25,-3.6364
2003-03-28,6.6038
2003-03-31,-15.0442
2003-04-01,9.375
2003-04-21,-8.5714
2003-04-22,14.5833
2003-05-05,-4.5455
2003-05-07,4.7619
2003-05-12,-11.818200000000001
2003-06-06,10.3093
2003-06-12,2.243
2003-06-16,1.4625
2003-06-26,-0.9009
2003-07-03,9.0909
2003-07-25,-16.6667
2003-08-04,2.0
2003-08-05,7.8431
