ticker,DDDX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-02-23,6620.0
2010-02-24,5.9524
2010-02-25,4.4944
2010-02-26,-1.6129
2010-03-01,3.8251
2010-03-02,3.1579
2010-03-03,5.6122
2010-03-04,1.4493
2010-03-05,-1.9048
2010-03-08,-7.767
2010-03-09,14.7368
2010-03-10,1.3761
2010-03-11,8.5973
2010-03-12,4.5833
2010-03-15,-11.9522
2010-03-16,-10.4072
2010-03-17,9.0909
2010-03-18,4.1667
2010-03-19,3.5556
2010-03-22,-6.4378
2010-03-23,4.5872
2010-03-24,-1.3158
2010-03-25,-3.1111
2010-03-26,-1.3761
2010-03-29,1.3953
2010-03-30,1.8349
2010-03-31,8.1081
2010-04-01,5.8333
2010-04-05,3.9370000000000003
2010-04-06,1.8939
2010-04-07,-16.3569
2010-04-08,5.7778
2010-04-09,2.9412000000000003
2010-04-12,-6.5306
2010-04-13,-12.6638
2010-04-14,-28.0
2010-04-15,9.7222
2010-04-16,-4.4304
2010-04-19,2.649
2010-04-20,-8.3871
2010-04-21,8.4507
2010-04-22,10.3896
2010-04-23,8.2353
2010-04-26,-12.5
2010-04-27,6.2112
2010-04-28,1.1696
2010-04-29,4.0462
2010-04-30,1.6667
2010-05-03,-4.918
2010-05-04,-5.7471
2010-05-05,-5.4878
2010-05-06,3.2258
2010-05-07,-1.875
2010-05-10,-7.6433
2010-05-11,-7.5862
2010-05-12,8.9552
2010-05-13,6.1644
2010-05-14,-1.9355
2010-05-17,-5.9211
2010-05-18,-9.0909
2010-05-19,13.8462
2010-05-20,-5.4054
2010-05-21,-7.1429
2010-05-24,1.5385
2010-05-25,-7.5758
2010-05-26,2.459
2010-05-27,0.8
2010-05-28,-0.7937
2010-06-01,9.6
2010-06-02,-6.5693
2010-06-03,-1.1719
2010-06-04,-5.9289
2010-06-07,-15.1261
2010-06-08,-10.8911
2010-06-09,22.2222
2010-06-10,-8.1818
2010-06-11,-5.9406
2010-06-14,-8.4211
2010-06-15,2.2989
2010-06-16,11.236
2010-06-17,6.0606
2010-06-18,0.9524
2010-06-21,-1.8868
2010-06-22,5.7692
2010-06-23,11.818200000000001
2010-06-24,5.6911000000000005
2010-06-25,11.538499999999999
2010-06-28,-9.6552
2010-06-29,-15.2672
2010-06-30,12.6126
2010-07-01,0.0
2010-07-02,-8.0
2010-07-06,4.3478
2010-07-07,0.0
2010-07-08,-0.8333
2010-07-09,1.6912
2010-07-12,1.8335
2010-07-13,-3.4234
2010-07-14,17.6347
