ticker,PMIR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-11-01,-11.1111
2013-11-06,-9.0
2013-11-07,-0.4121
2013-11-11,-10.3448
2013-11-12,8.1538
2013-11-21,1.3514
2013-11-22,-0.3509
2013-12-04,-1.4085
2013-12-05,0.0
2013-12-11,0.0
2013-12-12,0.0
2013-12-13,-3.5714
2013-12-19,-6.6667
2013-12-20,-4.7619
2013-12-27,0.0
2014-01-06,4.1667
2014-01-13,-4.0
2014-01-30,0.0
2014-01-31,33.3333
2014-02-26,-28.125
2014-03-12,21.7391
2014-03-25,10.7143
2014-04-11,3.2258
2014-04-17,-3.125
2014-04-28,-0.6452
2014-06-26,-55.1948
2014-06-30,123.1884
2014-09-09,-35.0649
2014-09-30,-17.5
2014-10-01,45.4545
2014-11-17,6.6667
2014-12-31,-6.25
2015-01-08,0.0
2015-04-21,-62.5
2015-05-14,0.4444
2015-05-28,21.6814
2015-06-02,-18.1818
2015-06-24,12.4444
2015-07-16,-3.1621
2015-07-21,-2.0408
2015-08-10,-4.1667
2015-08-14,-2.1739
2015-08-18,2.2222
2015-09-15,19.5652
2015-09-21,9.4545
2015-11-12,-0.3322
2015-11-20,-16.6667
2015-11-23,0.0
2015-12-02,20.0
2015-12-18,0.0
2015-12-30,-15.0
2016-01-20,-17.647100000000002
2016-01-28,33.3333
2016-08-10,-28.5714
2016-08-11,0.0
2016-08-17,-12.5
2016-09-15,-28.5714
2016-10-14,4.0
2016-12-27,-23.0769
2017-02-28,5.0
2017-06-29,-19.0476
2017-09-28,0.0
2017-11-02,0.0
2017-12-01,5.8824
2017-12-08,5.5556
2017-12-15,-5.2632
2018-01-19,-15.5556
2018-01-25,18.4211
2018-02-13,0.0
2018-05-08,2.2222
2018-08-20,-13.0435
2018-11-15,25.0
2018-12-14,0.0
2019-03-05,-26.0
2019-05-14,-45.9459
2019-05-15,87.5
2019-05-16,-6.6667
2019-05-17,-57.1429
2019-06-07,133.3333
2019-09-25,-28.5714
2019-10-11,5.0
2019-10-17,-4.7619
2019-12-20,0.0
2019-12-24,0.0
2019-12-31,-50.0
2020-02-03,220.0
2020-02-20,-30.625
2020-06-05,-9.9099
2020-06-12,-50.0
