ticker,PPBB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-10-10,0.6757
2017-11-02,-0.6711
2017-11-06,1.3514
2018-04-06,26.6667
2018-05-04,7.8947
2018-07-16,21.9512
2018-07-30,-6.0
2018-07-31,0.0
2018-08-01,0.0
2018-08-02,2.1277
2018-08-29,6.25
2018-09-06,1.9607999999999999
2018-10-12,6.7308
2018-12-18,-6.3063
2019-01-28,-9.6154
2019-01-29,-0.8511
2019-01-30,0.0
2019-01-31,-0.4292
2019-02-01,0.6466
2019-02-05,-0.2141
2019-02-06,0.8584
2019-02-28,1.0638
2019-03-29,-1.0526
2019-04-01,-1.2766
2019-04-05,0.431
2019-05-09,0.8584
2019-05-17,-2.9787
2019-05-20,0.8772
2019-07-16,4.3478
2019-07-19,0.0
2019-08-22,-6.25
2019-08-30,-3.1111
2019-09-05,5.5046
2019-09-20,-5.2174
2019-09-25,1.8349
2019-09-27,3.6036
2019-11-01,0.0
2019-12-03,-4.3478
2019-12-04,4.5455
2019-12-05,-1.7391
2019-12-06,-2.6549
2019-12-10,0.1136
2019-12-13,2.1566
2019-12-20,1.2222
2020-01-03,-3.1833
2020-01-06,0.907
2020-01-07,-0.2247
2020-01-22,0.0
2020-01-23,-0.2207
2020-01-29,-0.1174
2020-02-04,-1.4689
2020-02-21,-3.6696999999999997
2020-02-26,-4.7619
2020-03-02,-1.0
2020-03-09,-6.5657
2020-03-18,-5.4054
2020-06-10,-25.7143
2020-07-29,34.6154
2020-07-30,2.8514
