ticker,FPH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-05-10,7.4286
2017-05-11,1.1303
2017-05-12,4.931
2017-05-15,3.0702
2017-05-16,-2.0061
2017-05-17,-0.7444
2017-05-18,-0.4375
2017-05-19,0.4394
2017-05-22,-1.1875
2017-05-23,1.0753
2017-05-24,-2.0025
2017-05-25,2.3627000000000002
2017-05-26,-1.9339
2017-05-30,-0.1908
2017-05-31,-0.5099
2017-06-01,0.2562
2017-06-02,0.3195
2017-06-05,-1.2739
2017-06-06,-0.8387
2017-06-07,-1.4964
2017-06-08,-1.0568
2017-06-09,1.8024
2017-06-12,-2.623
2017-06-13,-0.8754
2017-06-14,-1.6984
2017-06-15,-0.622
2017-06-16,-0.904
2017-06-19,2.1053
2017-06-20,0.4124
2017-06-21,-0.3422
2017-06-22,-0.0687
2017-06-23,-0.2749
2017-06-26,0.1378
2017-06-27,-1.3765
2017-06-28,3.6985
2017-06-29,-0.8748
2017-06-30,0.2037
2017-07-03,0.2033
2017-07-05,-2.8398
2017-07-06,-1.8789
2017-07-07,-0.6383
2017-07-10,3.6403
2017-07-11,-1.5152
2017-07-12,0.3497
2017-07-13,1.324
2017-07-14,-1.9945
2017-07-17,1.193
2017-07-18,0.6241
2017-07-19,-0.2757
2017-07-20,0.5529
2017-07-21,0.1375
2017-07-24,-1.8531
2017-07-25,1.6084
2017-07-26,0.8259
2017-07-27,0.0
2017-07-28,-0.2048
2017-07-31,1.9152
2017-08-01,0.6711
2017-08-02,-0.6667
2017-08-03,-0.8725
2017-08-04,2.302
2017-08-07,-0.728
2017-08-08,0.0
2017-08-09,-3.1333
2017-08-10,-4.9553
2017-08-11,-0.4345
2017-08-14,1.8909
2017-08-15,0.2855
2017-08-16,1.4235
2017-08-17,-0.9825
2017-08-18,0.0
2017-08-21,-0.0709
2017-08-22,-0.5674
2017-08-23,3.1384
2017-08-24,-1.2448
2017-08-25,-2.0308
2017-08-28,2.5733
2017-08-29,0.2091
2017-08-30,0.2782
2017-08-31,-1.8723999999999998
2017-09-01,0.7774
2017-09-05,-3.7167
2017-09-06,-2.0393
2017-09-07,-1.4126
2017-09-08,0.8296
2017-09-11,0.374
2017-09-12,0.0745
2017-09-13,-0.1489
2017-09-14,-0.4474
2017-09-15,0.1498
2017-09-18,1.4959
2017-09-19,-0.2948
2017-09-20,0.5174
2017-09-21,-1.8382
2017-09-22,-2.1723
2017-09-25,0.8423
2017-09-26,3.1131
2017-09-27,-0.5891
2017-09-28,0.2222
