ticker,JETR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-02-11,0.0
2009-02-27,-90.0
2009-04-23,900.0
2009-04-27,20.0
2009-04-30,0.0
2009-05-08,25.0
2009-05-22,6233.3333
2009-06-05,-98.8421
2009-07-10,0.0
2010-05-28,9.0909
2010-06-23,-98.3167
2010-06-24,0.0
2010-07-14,18.8119
2010-07-30,8.3333
2010-08-27,53.8462
2010-08-30,0.0
2010-10-04,10.0
2010-10-27,9.0909
2010-11-17,8.3333
2010-12-06,-57.6923
2010-12-07,135.4545
2011-01-18,-72.973
2011-01-19,0.0
2011-01-20,-8.5714
2011-01-21,0.0
2011-01-24,-4.6875
2011-01-26,-1.6393
2011-01-27,15.0
2011-01-28,-5.7971
2011-01-31,-7.6923
2011-02-01,-48.3333
2011-02-02,77.4194
2011-02-03,0.0
2011-02-04,0.0
2011-02-07,-27.2727
2011-02-08,-50.0
2011-02-09,75.0
2011-02-10,-25.7143
2011-02-11,69.2308
2011-02-14,-9.0909
2011-02-15,42.5
2011-02-16,15.7895
2011-02-17,-15.1515
2011-02-18,0.0
2011-02-22,-37.5
2011-02-23,2.8571
2011-02-24,2.7778
2011-02-28,35.1351
2011-03-01,0.0
2011-03-03,-40.0
2011-03-04,33.3333
2011-03-07,17.5
2011-03-08,0.0
2011-03-09,-2.1277
2011-03-10,2.1739
2011-03-11,-6.383
2011-03-14,-27.2727
2011-03-15,15.625
2011-03-16,-8.1081
2011-03-17,0.0
2011-03-18,2.9412000000000003
2011-03-21,-11.4286
2011-03-22,-0.3226
2011-03-23,-12.6214
2011-03-24,0.0
2011-03-25,29.6296
2011-03-28,-8.5714
2011-03-29,0.0
2011-03-30,0.0
2011-03-31,9.375
2011-04-01,2.8571
2011-04-04,0.0
2011-04-05,-11.1111
2011-04-06,-18.75
2011-04-07,-3.8462
2011-04-08,-20.0
2011-04-11,0.0
2011-04-12,-44.9375
2011-04-13,9.0806
2011-04-14,8.2206
2011-04-15,0.0
2011-04-18,76.9231
2011-04-20,-26.087
2011-04-21,41.1765
2011-04-25,-37.5
2011-04-26,0.0
2011-04-27,106.6667
2011-04-28,0.0
2011-04-29,-48.3871
2011-05-02,-12.5
2011-05-04,42.8571
2011-05-05,-35.0
2011-05-06,7.6923
2011-05-09,0.0
2011-05-11,42.8571
2011-05-13,30.0
2011-05-16,-42.3077
2011-05-17,66.6667
2011-05-18,-20.0
2011-05-19,25.0
2011-05-20,-12.0
2011-05-25,-31.8182
2011-05-26,0.0
