ticker,EVER US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-06-28,0.1111
2018-06-29,0.5549
2018-07-02,-0.6071
2018-07-03,3.7757
2018-07-05,-4.3339
2018-07-06,-1.0067
2018-07-09,-1.7513999999999998
2018-07-10,-1.3801
2018-07-11,-1.6327
2018-07-12,-1.2448
2018-07-13,1.4405999999999999
2018-07-16,-1.1834
2018-07-17,-1.6168
2018-07-18,9.2514
2018-07-19,-2.117
2018-07-20,1.7075
2018-07-23,-4.0851
2018-07-24,0.4667
2018-07-25,-3.6005000000000003
2018-07-26,-4.1566
2018-07-27,3.2055
2018-07-30,-5.542
2018-07-31,-3.0948
2018-08-01,-1.8629
2018-08-02,-5.3559
2018-08-03,2.7937
2018-08-06,4.878
2018-08-07,-0.0664
2018-08-08,3.4574
2018-08-09,-4.563
2018-08-10,-0.8754
2018-08-13,-0.8832
2018-08-14,1.7135
2018-08-15,-3.2345
2018-08-16,0.9053
2018-08-17,-1.7943
2018-08-20,0.8433
2018-08-21,-0.8362
2018-08-22,-1.6162999999999998
2018-08-23,-2.5
2018-08-24,-0.293
2018-08-27,0.0
2018-08-28,-1.2490999999999999
2018-08-29,-0.372
2018-08-30,-1.2696
2018-08-31,0.2269
2018-09-04,-5.5849
2018-09-05,0.3197
2018-09-06,5.0199
2018-09-07,3.9454000000000002
2018-09-10,0.0
2018-09-11,-1.3869
2018-09-12,0.5181
2018-09-13,4.3446
2018-09-14,2.4699999999999998
2018-09-17,1.2397
2018-09-18,2.1769
2018-09-19,1.5312999999999999
2018-09-20,3.9344
2018-09-21,-4.7318999999999996
2018-09-24,-0.6623
2018-09-25,-5.4
2018-09-26,0.7047
2018-09-27,0.14
2018-09-28,3.8435
2018-10-01,4.0377
2018-10-02,3.4929
2018-10-03,5.3125
2018-10-04,0.5341
2018-10-05,-11.3341
2018-10-08,-4.1278
2018-10-09,-0.1389
2018-10-10,-4.4506
2018-10-11,-3.8574
2018-10-12,-1.5897000000000001
2018-10-15,1.6923
2018-10-16,-5.5219000000000005
2018-10-17,0.3203
2018-10-18,-2.3943
2018-10-19,-0.7359
2018-10-22,-1.0708
2018-10-23,-0.0833
2018-10-24,-1.25
2018-10-25,-0.4219
2018-10-26,1.6101999999999999
2018-10-29,4.4204
2018-10-30,1.1981
2018-10-31,1.5785
2018-11-01,2.5641
2018-11-02,-7.9545
2018-11-05,8.8066
2018-11-06,-2.6475
2018-11-07,-2.0979
2018-11-08,-3.8889
2018-11-09,4.294
2018-11-12,-5.7007
