ticker,SRGE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-10-05,2071.4286
2006-10-06,5.2632
2006-10-09,0.0
2006-10-10,-6.25
2006-10-12,3.3333
2006-10-13,1.2903
2006-10-16,1.9108
2006-10-17,-1.875
2006-10-18,-0.6369
2006-10-19,-0.641
2006-10-20,3.2258
2006-10-23,-1.875
2006-10-24,-1.2739
2006-10-25,1.2903
2006-10-26,9.5541
2006-10-27,6.9767
2006-10-30,-7.6087
2006-10-31,-11.1765
2006-11-01,1.3245
2006-11-02,-5.2288
2006-11-03,6.8966
2006-11-06,-5.1613
2006-11-07,8.8435
2006-11-08,-3.75
2006-11-09,5.8442
2006-11-10,-0.9202
2006-11-13,-2.7864
2006-11-14,-14.6497
2006-11-15,0.0
2006-11-16,6.7164
2006-11-17,-12.5874
2006-11-20,-22.4
2006-11-21,-13.4021
2006-11-22,18.9286
2006-11-24,-5.005
2006-11-27,8.5353
2006-11-28,-5.8252
2006-11-29,2.0619
2006-11-30,-3.1313
2006-12-01,1.147
2006-12-04,3.0928
2006-12-05,1.0
2006-12-06,-0.099
2006-12-07,10.0099
2006-12-08,-15.3153
2006-12-11,-4.2553
2006-12-12,-5.0
2006-12-13,-18.1287
2006-12-14,1.4285999999999999
2006-12-15,-11.2676
2006-12-18,-42.8571
2006-12-19,-5.5556
2006-12-20,23.5294
2006-12-21,0.0
2006-12-22,-7.1429
2006-12-26,-7.6923
2006-12-27,2.7778
2006-12-28,1.3514
2006-12-29,1.3333
2007-01-03,-2.6316
2007-01-04,0.0
2007-01-05,0.0
2007-01-08,-5.4054
2007-01-09,0.0
2007-01-10,-11.4286
2007-01-11,-9.6774
2007-01-12,-10.7143
2007-01-16,-4.0
2007-01-17,4.1667
2007-01-18,8.4
2007-01-19,-1.3607
2007-01-22,17.8396
2007-01-23,-13.9683
2007-01-24,1.476
2007-01-25,9.0909
2007-01-26,-6.6667
2007-01-29,0.0
2007-01-30,-5.3571
2007-01-31,-4.9056999999999995
2007-02-01,-0.7937
2007-02-02,-14.0
2007-02-05,-16.2791
2007-02-06,0.0
2007-02-07,0.0
2007-02-08,0.0
2007-02-09,-5.5556
2007-02-12,-11.1765
2007-02-13,-3.9735
2007-02-14,6.8966
2007-02-15,-19.3548
2007-02-16,-10.4
2007-02-20,-13.392900000000001
2007-02-21,7.2165
2007-02-22,73.0769
2007-02-23,-11.1111
2007-02-26,12.5
2007-02-27,-11.1111
2007-02-28,12.5
2007-03-01,8.2639
2007-03-02,-12.7646
