ticker,VIPS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-03-23,-15.3846
2012-03-26,-14.5455
2012-03-27,-2.1277
2012-03-28,-2.1739
2012-03-29,-3.3333
2012-03-30,0.9195
2012-04-02,-0.2548
2012-04-03,-2.7133000000000003
2012-04-04,0.939
2012-04-05,1.1628
2012-04-09,0.6897
2012-04-10,3.1963
2012-04-11,2.8761
2012-04-12,0.0
2012-04-13,3.6559
2012-04-16,3.9419
2012-04-17,8.5828
2012-04-18,8.4559
2012-04-19,0.8475
2012-04-20,0.1681
2012-04-23,0.6711
2012-04-24,0.3333
2012-04-25,-12.7907
2012-04-26,1.1429
2012-04-27,-0.1883
2012-04-30,1.8868
2012-05-01,1.1111
2012-05-02,4.2125
2012-05-03,-2.2847
2012-05-04,-1.259
2012-05-07,-2.0036
2012-05-08,-1.487
2012-05-09,1.3208
2012-05-10,-3.7244
2012-05-11,4.4487
2012-05-14,4.6296
2012-05-15,-6.3717
2012-05-16,-4.5369
2012-05-17,1.1881
2012-05-18,0.7828
2012-05-21,-2.3301
2012-05-22,-3.3797
2012-05-23,-3.4979
2012-05-24,2.3454
2012-05-25,4.1667
2012-05-29,1.2
2012-05-30,4.5455
2012-05-31,3.9698
2012-06-01,0.1818
2012-06-04,-0.1815
2012-06-05,2.1818
2012-06-06,4.6263
2012-06-07,-3.2313
2012-06-08,0.703
2012-06-11,1.7452
2012-06-12,1.2006999999999999
2012-06-13,-2.7119
2012-06-14,0.3484
2012-06-15,2.2569
2012-06-18,1.8676
2012-06-19,2.3333
2012-06-20,-0.6515
2012-06-21,0.0
2012-06-22,0.0
2012-06-25,0.082
2012-06-26,0.7371
2012-06-27,-0.813
2012-06-28,0.0
2012-06-29,0.0
2012-07-02,0.0
2012-07-03,-0.1639
2012-07-05,1.642
2012-07-06,-1.1309
2012-07-09,-0.1634
2012-07-10,-2.2913
2012-07-11,0.5025
2012-07-12,0.0
2012-07-13,-0.8333
2012-07-16,-0.1681
2012-07-17,0.0
2012-07-18,-1.6835
2012-07-19,-5.1370000000000005
2012-07-20,0.1805
2012-07-23,-3.0631
2012-07-24,-4.2751
2012-07-25,1.9417
2012-07-26,2.4762
2012-07-27,5.948
2012-07-30,-2.2807
2012-07-31,-0.1795
2012-08-01,-0.7194
2012-08-02,-0.1812
2012-08-03,0.6352
2012-08-06,-1.3526
2012-08-07,-0.5484
2012-08-08,1.4706000000000001
2012-08-09,-1.087
2012-08-10,-2.0147
2012-08-13,1.8692
2012-08-14,0.0
