ticker,SNPW US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-10-11,-5.5556
2006-12-22,-76.4706
2007-02-16,160.0
2007-02-20,15.3846
2007-02-23,0.0
2007-03-09,16.6667
2007-07-27,0.0
2007-09-20,-14.2857
2007-09-26,-33.3333
2007-10-01,0.0
2007-10-03,0.0
2007-10-15,-20.0
2007-10-16,-6.25
2007-10-17,66.6667
2007-10-18,-4.0
2007-10-19,0.0
2007-10-22,4.1667
2007-10-23,0.0
2007-10-24,0.0
2007-10-25,20.0
2007-10-26,0.0
2007-10-29,0.0
2007-10-30,-6.6667
2007-10-31,0.0
2007-11-02,42.8571
2007-11-05,40.0
2007-11-06,28.5714
2007-11-07,66.6667
2007-11-08,-16.6667
2007-11-09,0.0
2007-11-12,20.0
2007-11-13,-30.0
2007-11-14,19.0476
2007-11-15,0.0
2007-11-16,-20.0
2007-11-19,20.0
2007-11-20,4.1667
2007-11-26,-20.0
2007-11-27,20.0
2007-11-28,25.0
2007-11-30,-33.3333
2007-12-03,0.0
2007-12-04,0.0
2007-12-07,5.0
2007-12-10,19.0476
2007-12-11,0.0
2007-12-13,4.0
2007-12-14,7.6923
2007-12-17,7.1429
2007-12-18,-6.6667
2007-12-24,-25.0
2008-01-03,28.5714
2008-01-07,-22.2222
2008-01-08,0.0
2008-01-09,4.7619
2008-01-10,27.2727
2008-01-14,0.0
2008-01-15,-25.0
2008-01-16,33.3333
2008-01-17,42.8571
2008-01-18,-10.0
2008-01-22,-36.1111
2008-01-23,52.1739
2008-01-28,-42.8571
2008-01-29,0.0
2008-01-30,75.0
2008-01-31,5.7143
2008-02-01,8.1081
2008-02-04,6.75
2008-02-05,21.7799
2008-02-06,5.7692
2008-02-07,9.0909
2008-02-08,20.0
2008-02-11,4.1667
2008-02-12,20.0
2008-02-13,0.0
2008-02-14,-22.2222
2008-02-15,1.4285999999999999
2008-02-19,12.6761
2008-02-20,-28.75
2008-02-21,-21.0526
2008-02-22,13.3333
2008-02-25,-17.647100000000002
2008-02-27,-33.3333
2008-02-28,-25.0
2008-02-29,19.0476
2008-03-03,-40.0
2008-03-04,0.0
2008-03-05,13.3333
2008-03-06,-23.5294
2008-03-07,-23.0769
2008-03-10,10.0
2008-03-11,18.1818
2008-03-12,-23.0769
2008-03-13,0.0
2008-03-14,-10.0
2008-03-17,11.1111
2008-03-18,30.0
2008-03-19,-23.0769
2008-03-20,40.0
2008-03-24,-28.5714
2008-03-25,70.0
2008-03-26,52.9412
2008-03-27,0.0
