ticker,GCP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-01-28,-6.25
2016-01-29,2.4
2016-02-02,-7.7604
2016-02-03,-5.9289
2016-02-04,1.4405999999999999
2016-02-05,3.5503
2016-02-08,-2.8571
2016-02-09,-0.5882
2016-02-10,-6.0355
2016-02-11,0.6297
2016-02-12,-1.189
2016-02-16,-1.8999000000000001
2016-02-17,2.9051
2016-02-18,2.8858
2016-02-19,0.2439
2016-02-22,3.4063
2016-02-23,0.0
2016-02-24,-0.1176
2016-02-25,0.7656
2016-02-26,5.377
2016-02-29,-1.6639
2016-03-01,2.1433
2016-03-02,-0.8835
2016-03-03,0.2786
2016-03-04,5.2222
2016-03-07,-1.32
2016-03-08,-4.1199
2016-03-09,6.4732
2016-03-10,2.044
2016-03-11,0.2054
2016-03-14,-2.1015
2016-03-15,-0.4712
2016-03-16,0.9995
2016-03-17,0.0
2016-03-18,4.3229
2016-03-21,0.2996
2016-03-22,-0.3982
2016-03-23,-0.1
2016-03-24,0.1001
2016-03-28,0.3498
2016-03-29,-0.3486
2016-03-30,1.2494
2016-03-31,-1.5795
2016-04-01,3.0592
2016-04-04,2.9196999999999997
2016-04-05,-0.331
2016-04-06,1.7551999999999999
2016-04-07,-2.0047
2016-04-08,0.666
2016-04-11,1.0397
2016-04-12,-0.2339
2016-04-13,0.1406
2016-04-14,-0.8427
2016-04-15,0.8026
2016-04-18,0.5621
2016-04-19,-0.5589
2016-04-20,0.7494
2016-04-21,1.7201
2016-04-22,2.2395
2016-04-25,1.207
2016-04-26,-1.2809
2016-04-27,0.5369
2016-04-28,0.356
2016-04-29,-1.8625
2016-05-02,2.7113
2016-05-03,-2.2437
2016-05-04,2.0252
2016-05-05,0.4411
2016-05-06,0.4831
2016-05-09,-1.8794
2016-05-10,4.4989
2016-05-11,-0.4689
2016-05-12,-1.5417999999999998
2016-05-13,-0.6525
2016-05-16,3.3275
2016-05-17,0.2966
2016-05-18,0.8872
2016-05-19,-1.005
2016-05-20,-1.0998
2016-05-23,-0.0855
2016-05-24,1.6267
2016-05-25,1.7269999999999999
2016-05-26,-1.9048
2016-05-27,2.4061
2016-05-31,-2.1847
2016-06-01,3.0763
2016-06-02,0.6132
2016-06-03,-0.4063
2016-06-06,0.5304
2016-06-07,4.9513
2016-06-08,1.2374
2016-06-09,-1.2605
2016-06-10,-0.3868
2016-06-13,-1.0485
2016-06-14,-0.2747
2016-06-15,-1.6922000000000001
2016-06-16,1.3611
2016-06-17,1.0664
