ticker,CBHR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-03-21,11900.0
2000-03-28,-97.9167
2000-05-15,0.0
2000-06-09,20.0
2000-07-27,2566.6667
2000-10-17,-93.0
2000-10-20,971.4286
2000-11-02,-91.6667
2000-11-08,0.0
2000-11-09,250.0
2000-11-27,-14.2857
2000-11-28,0.0
2000-11-29,-29.1667
2000-12-28,-41.1765
2001-01-16,0.0
2001-04-10,-0.8
2001-07-09,-19.3548
2001-07-19,-20.0
2001-07-27,0.0
2001-08-31,0.0
2001-09-06,100.0
2001-09-21,-62.5
2001-11-27,0.0
2001-12-05,6.6667
2001-12-17,-25.0
2002-04-09,66.6667
2002-04-16,25.0
2002-05-03,12.0
2002-06-10,0.0
2002-06-14,-10.7143
2002-06-24,12.0
2002-06-28,-17.8571
2002-08-05,0.0
2002-08-22,-47.8261
2002-10-14,-16.6667
2002-10-17,0.0
2002-12-10,0.0
2002-12-17,0.0
2002-12-19,30.0
2002-12-20,15.3846
2003-01-03,20.0
2003-01-29,177.7778
2003-02-13,102.0
2003-03-28,-85.1485
2003-04-09,-60.0
2003-05-02,250.0
2003-07-10,-28.5714
2003-08-27,-33.3333
2003-09-09,-30.0
2003-10-29,28.5714
2004-01-21,511.1111
2004-02-03,36.3636
2004-02-05,-66.6667
2004-02-25,-20.0
2004-04-14,-20.0
2004-04-16,0.0
2004-05-03,-6.25
2004-05-19,33.3333
2004-06-29,-25.0
2004-07-19,0.0
2004-07-21,13.3333
2004-07-28,-11.7647
2004-07-29,-53.3333
2004-11-15,14.2857
2005-02-14,-12.5
2005-02-15,-14.2857
2005-05-17,50.0
2005-08-26,-44.4444
2005-12-27,0.0
2006-01-19,0.0
2006-02-13,0.0
2006-10-20,0.0
2006-11-03,0.0
2006-12-22,0.0
2007-01-24,0.0
2007-01-31,100.0
2007-02-20,450.0
2007-07-30,-87.2727
2007-08-23,0.0
2007-10-11,0.0
2007-11-23,0.0
2007-11-30,-28.5714
2008-04-23,-60.0
2008-10-01,0.0
2009-09-28,-50.0
2010-08-18,0.0
2012-03-13,400.0
2012-05-16,-60.0
2013-10-24,0.0
2013-12-11,-50.0
2013-12-13,0.0
2015-03-06,0.0
2019-06-06,9900.0
2019-06-07,0.0
2019-06-11,-45.0
2019-06-17,0.0
2019-07-09,0.0
2019-07-12,47.2727
2019-10-01,-37.037
2019-10-04,7.8431
2019-10-07,-39.6182
2019-10-18,-39.7772
2019-12-30,-32.0
