ticker,CBDY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-01-04,-20.0
2016-02-24,0.0
2016-03-11,-44.0
2016-03-22,1.7856999999999998
2016-03-23,0.0
2016-03-29,-55.9649
2016-03-31,5.0299
2016-04-01,2.4182
2016-04-07,100.9722
2016-04-11,-53.9277
2016-04-12,23.2
2016-04-13,12.6623
2016-04-14,21.0375
2016-04-15,7.1429
2016-04-18,2.2222
2016-04-19,6.5217
2016-04-20,2.0408
2016-04-21,0.0
2016-04-22,-30.0
2016-04-25,0.0
2016-05-02,85.7143
2016-05-03,-37.8462
2016-05-04,-25.7426
2016-05-05,26.6667
2016-05-06,2.8947000000000003
2016-05-09,15.0575
2016-05-10,8.9191
2016-05-11,-0.1403
2016-05-12,4.2279
2016-05-13,-3.9215999999999998
2016-05-16,18.3673
2016-05-17,-0.4095
2016-05-18,5.6048
2016-05-19,11.4754
2016-05-20,1.4706000000000001
2016-05-23,1.4493
2016-05-24,4.2857
2016-05-25,-2.7397
2016-05-26,-4.243
2016-05-27,-10.2776
2016-05-31,7.377
2016-06-01,2.2901
2016-06-02,-0.7463
2016-06-03,-6.015
2016-06-06,-24.8
2016-06-07,2.1277
2016-06-08,-12.5
2016-06-09,11.9048
2016-06-10,6.383
2016-06-13,-31.3
2016-06-14,40.3748
2016-06-15,-2.5275
2016-06-17,-25.5319
2016-06-20,-0.8393
2016-06-21,5.1684
2016-06-22,6.8493
2016-06-23,-10.5128
2016-06-24,0.0
2016-06-27,-2.5788
2016-06-28,-5.8824
2016-06-29,6.25
2016-06-30,0.2941
2016-07-01,-0.0367
2016-07-05,0.0
2016-07-06,-1.8335
2016-07-07,-7.359
2016-07-08,6.4516
2016-07-11,4.5455
2016-07-12,-20.6341
2016-07-13,24.1726
2016-07-14,10.1103
2016-07-15,8.1803
2016-07-18,8.642
2016-07-19,-36.3636
2016-07-20,-32.5
2016-07-21,9.3254
2016-07-22,8.892900000000001
2016-07-25,4.3889
2016-07-26,-36.1362
2016-07-27,-34.0
2016-07-28,-34.3434
2016-07-29,6.1538
2016-08-01,4.3478
2016-08-02,55.5556
2016-08-03,-10.7143
2016-08-04,11.0
2016-08-05,12.6126
2016-08-08,1.5
2016-08-09,20.197
2016-08-10,-17.7049
2016-08-11,-4.3825
2016-08-12,-12.5521
2016-08-15,27.6951
2016-08-16,-40.2985
2016-08-17,25.0
2016-08-18,0.0
2016-08-19,6.0
2016-08-22,-27.3585
2016-08-23,-35.0649
2016-08-24,44.0
