ticker,DGCRF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-26,78.1818
2000-01-27,17.3469
2000-01-28,12.1739
2000-02-02,43.4109
2000-02-03,43.2432
2000-02-07,2.2641999999999998
2000-02-08,0.0
2000-02-09,2.583
2000-02-10,0.0
2000-02-22,-4.3165
2000-02-23,0.0
2000-03-01,62.782
2000-03-02,0.0
2000-03-03,-5.5427
2000-03-06,1.3447
2000-03-07,-3.9807
2000-03-08,-10.0503
2000-03-09,4.7486
2000-03-23,-20.0
2000-05-19,-52.0
2000-06-29,4.1667
2000-10-10,2.6667
2000-11-28,-11.3636
2000-12-19,-36.2637
2000-12-20,0.0
2001-03-28,-9.1954
2001-03-29,0.0
2001-07-09,15.1899
2001-08-07,-9.8901
2001-09-19,-18.2927
2001-10-24,-8.9552
2001-11-12,-13.1148
2002-03-08,24.5283
2002-04-29,-24.2424
2002-06-12,-20.0
2002-06-14,5.0
2002-11-22,-28.5714
2002-12-02,-16.6667
2002-12-06,8.0
2003-04-01,3.7037
2003-04-08,3.5714
2003-04-14,-3.4483
2003-07-25,21.4286
2003-08-01,-1.4706000000000001
2003-08-05,2.9851
2003-08-08,-4.9275
2003-08-19,-2.439
2003-08-21,3.125
2003-08-29,3.0303
2003-09-15,43.8603
2003-09-18,6.3123000000000005
2003-09-22,44.2308
2003-09-23,22.4
2003-09-24,22.0044
2003-09-25,-18.3036
2003-09-26,-1.6393
2003-10-02,6.1111
2003-10-06,13.089
2003-10-07,-3.0382
2003-10-08,-1.1638
2003-10-10,11.1111
2003-10-15,-3.9130000000000003
2003-10-16,4.0724
2003-10-17,-2.6087
2003-10-20,-5.3571
2003-10-22,-3.7736
2003-10-27,22.549
2003-10-29,-1.2
2003-10-31,-3.2389
2003-11-05,-1.2551999999999999
2003-11-11,-3.3898
2003-11-13,-7.8947
2003-11-20,26.6667
2003-11-21,3.0075
2003-11-24,7.6141
2003-11-25,-1.3099
2003-11-26,6.5292
2003-11-28,21.2903
2003-12-01,21.5426
2003-12-02,9.8468
2003-12-03,-24.1036
2003-12-04,5.5118
2003-12-05,-5.4726
2003-12-09,-1.0526
2003-12-10,-4.7241
2003-12-11,1.6086
2003-12-12,2.1978
2003-12-19,6.2567
2003-12-23,-4.3704
2003-12-29,3.1746
2004-01-02,14.359
2004-01-06,-3.5874
2004-01-09,3.2558
2004-01-12,-6.3063
2004-01-13,-3.8462
2004-01-14,1.4594
2004-01-21,-3.9024
2004-01-23,3.7083
2004-01-26,1.7987
